Artist,Listeners,Daily Trend,Peak,PkListeners
Sheila On 7,"5,787,462","252,159",1589,"6,108,116"
thiarajxtt,"5,784,731","191,074",1550,"6,849,124"
Victoria Monét,"5,783,106","178,165",764,"11,439,373"
Fabio Asher,"5,778,810","194,939",1464,"6,645,570"
José González,"5,774,929","263,167",1858,"5,774,929"
Reneé Rapp,"5,774,497","142,948",902,"10,005,179"
Sezen Aksu,"5,771,738","126,364",1730,"5,799,893"
Roberto Carlos,"5,771,190","251,646",1593,"5,822,840"
6arelyhuman,"5,770,427","133,203",1418,"7,314,583"
Vaundy,"5,770,191","132,053",1729,"5,783,269"
Lou Bega,"5,768,658","326,458",1924,"5,819,207"
Los Invasores De Nuevo León,"5,764,659","181,568",1771,"6,060,322"
Bas,"5,759,475","179,120",962,"9,919,637"
Robin Thicke,"5,755,922","329,794",1657,"5,828,885"
Vampire Weekend,"5,750,805","221,823",1275,"7,951,323"
Joe Cocker,"5,749,282","302,916",1364,"7,150,193"
Ícaro e Gilmar,"5,745,508","361,339",1620,"6,423,538"
Mukesh,"5,744,121","320,982",1774,"6,031,212"
Yovie Widianto,"5,743,091","387,327",1822,"5,743,091"
RAF Camora,"5,741,646","181,655",1336,"6,677,495"
Yehezkel Raz,"5,739,195","311,661",1978,"5,739,195"
Bruno Martini,"5,735,358","319,189",1643,"6,004,945"
Nena,"5,730,925","241,126",1691,"6,391,384"
MALIQ & D'Essentials,"5,727,844","193,595",1636,"6,551,321"
SMU,"5,727,830","177,638",1119,"8,408,740"
Dubdogz,"5,723,754","294,922",1538,"5,919,508"
Jamiroquai,"5,720,289","347,525",1733,"5,720,289"
Masked Wolf,"5,712,766","274,366",924,"8,528,561"
Dj Lc,"5,711,710","163,254",1112,"8,849,187"
Belinda Carlisle,"5,709,070","302,807",1889,"5,795,329"
mrld,"5,707,495","184,930",1939,"5,707,495"
Ana Bárbara,"5,695,758","283,260",1387,"6,143,940"
DJ Guih Da ZO,"5,690,859","305,458",1990,"5,690,859"
fam0uz,"5,687,881","276,986",1880,"5,816,619"
Lazza,"5,683,703","84,449",1083,"7,325,144"
KSHMR,"5,683,469","289,096",1187,"7,488,809"
NBSPLV,"5,682,841","309,705",1258,"7,406,470"
Lupe Fiasco,"5,679,521","351,874",1781,"5,679,521"
DJ Sammer,"5,679,114","198,814",943,"10,010,912"
Tinie Tempah,"5,677,598","216,373",1298,"7,125,677"
Niska,"5,675,988","117,829",1740,"6,021,632"
Kelis,"5,675,495","282,957",1746,"5,805,954"
BIA,"5,672,853","270,407",672,"11,587,632"
Chino & Nacho,"5,670,122","281,445",1626,"6,157,608"
Janet Jackson,"5,668,460","288,381",1438,"5,941,209"
K. J. Yesudas,"5,667,915","185,894",1962,"5,667,915"
Yebba,"5,667,763","280,266",1362,"7,328,580"
