Artist,Listeners,Daily Trend,Peak,PkListeners
Govind Vasantha,"5,031,649","201,338",2123,"5,031,649"
Tedua,"5,030,679","111,753",1997,"5,507,423"
Puddle Of Mudd,"5,030,679","251,882",2187,"5,038,710"
MC L da Vinte,"5,030,436","224,246",1793,"5,144,260"
Luigi 21 Plus,"5,028,983","213,668",2080,"5,319,096"
Kizz Daniel,"5,028,499","201,414",2125,"5,165,824"
Julian Perretta,"5,027,652","235,038",1155,"7,755,492"
A Tribe Called Quest,"5,027,532","249,032",1747,"5,732,005"
Sickick,"5,024,635","225,399",1462,"5,825,279"
Warren G,"5,023,912","241,820",1897,"5,289,575"
Luude,"5,023,190","188,317",1401,"6,109,311"
Baco Exu do Blues,"5,021,146","175,953",1086,"7,910,345"
Ranjith Govind,"5,019,825","219,848",2101,"5,019,825"
Wolfine,"5,019,105","338,676",825,"10,121,369"
Salt-N-Pepa,"5,016,710","274,275",2249,"5,016,710"
Yahritza Y Su Esencia,"5,016,351","227,957",424,"15,778,618"
Bvga Beatz,"5,015,754","167,992",1084,"8,243,029"
Vini Vici,"5,015,156","208,122",1397,"7,259,091"
Julio Iglesias,"5,013,366","245,955",2220,"5,088,363"
Dreamville,"5,011,579","193,941",923,"8,328,012"
Yeri Mua,"5,011,579","159,183",853,"10,520,428"
El Jordan 23,"5,008,133","208,092",777,"11,031,020"
AVAION,"5,007,303","234,236",2078,"5,012,651"
Whitesnake,"5,006,592","259,665",1605,"5,797,174"
Anvita Dutt,"5,002,217","258,776",1245,"6,689,226"
Snoh Aalegra,"5,002,099","266,757",1953,"5,563,300"
Dj Brunin XM,"4,999,390","222,064",1025,"8,697,045"
Deva,"4,997,274","253,524",2314,"4,997,274"
DJ Jeeh FDC,"4,994,460","237,917",1058,"7,518,377"
Sam C.S.,"4,993,874","243,358",1398,"6,852,244"
DJ BOY,"4,993,874","197,039",1708,"6,128,837"
Ghostemane,"4,992,938","169,353",1414,"6,359,963"
Anvita Dutt Guptan,"4,992,237","276,960",2103,"5,181,244"
Kah-Lo,"4,984,669","256,977",2251,"5,051,739"
Salastkbron,"4,983,393","152,765",2142,"5,183,345"
Nessa Barrett,"4,983,046","208,822",1065,"7,968,073"
Gabriela Rocha,"4,982,119","186,844",2093,"5,252,644"
Armand Van Helden,"4,976,579","242,524",1963,"5,181,804"
Budi Doremi,"4,975,198","229,957",1508,"6,032,948"
Au/Ra,"4,974,738","239,133",1194,"6,859,938"
Gilsons,"4,971,754","178,042",2239,"5,030,073"
Israel Kamakawiwo'ole,"4,968,436","284,437",2310,"4,968,436"
Trap Capos,"4,960,810","191,247",2288,"4,960,810"
Pinegrove,"4,954,817","262,299",2216,"4,995,163"
Dash Berlin,"4,954,704","241,745",1821,"5,829,170"
Judika,"4,953,239","231,579",2265,"4,982,814"
Lumi Athena,"4,951,327","168,563",1487,"6,866,151"
Chris Young,"4,947,177","214,870",1388,"6,557,043"
Yuri,"4,944,940","245,641",1242,"7,858,665"
SDM,"4,943,378","121,335",2228,"4,999,861"
Craig David,"4,941,817","263,435",1691,"5,210,763"
Tungevaag,"4,940,815","240,001",1246,"6,968,091"
WEY,"4,939,481","185,910",1433,"6,945,090"
Nacho,"4,939,148","214,742",1460,"5,848,841"
Nadhif Basalamah,"4,938,259","214,408",1084,"8,605,313"
La Factoria,"4,936,263","258,294",1171,"7,662,486"
Julia Kleijn,"4,934,603","289,657",2343,"4,934,603"
Michael Schulte,"4,933,166","188,451",1370,"6,973,541"
Switch Disco,"4,932,062","207,350",1706,"6,357,067"
Baby Bash,"4,929,747","-3,700",2055,"5,067,817"
Conor Maynard,"4,928,867","230,566",1391,"6,804,973"
Jenni Rivera,"4,928,757","231,997",2119,"5,110,234"
GEE LEE,"4,924,147","226,396",2296,"4,932,614"
Eliza Rose,"4,921,413","242,786",1078,"7,458,821"
Lil Tracy,"4,919,994","185,859",1858,"5,131,771"
HVME,"4,919,231","247,948",1094,"7,567,924"
Emiway Bantai,"4,914,753",0,2123,0
Fuego,"4,907,417","237,641",1138,"7,079,607"
Barry White,"4,907,093","303,340",2101,"5,173,853"
Diego Torres,"4,905,694","253,398",1900,"5,662,724"
Ñejo & Dalmata,"4,904,188","223,199",2139,"5,126,046"
Walker Hayes,"4,897,014","198,667",1379,"6,069,648"
Volbeat,"4,896,801","178,151",1709,"5,808,321"
Espinoza Paz,"4,894,456","217,419",2077,"4,894,456"
Grupo Bryndis,"4,881,864","254,105",2170,"5,064,306"
Russ Millions,"4,875,781","155,966",1246,"7,466,926"
HAIM,"4,875,781","254,260",920,"9,332,787"
Hal,"4,875,049","178,806",2156,"4,903,222"
Royal Philharmonic Orchestra,"4,872,648","274,172",1290,"7,608,153"
Inspector,"4,872,544","210,421",2049,"5,384,623"
Pras,"4,872,023","250,381",1974,"5,144,125"
Sugar Ray,"4,871,294","303,900",2164,"5,172,881"
NATHY PELUSO,"4,870,981","193,230",1341,"7,298,986"
Vegedream,"4,869,941","174,317",1823,"5,706,541"
Kanii,"4,868,694","154,129",961,"8,387,470"
Mc Lele JP,"4,868,071","192,278",2239,"5,011,698"
BLOK3,"4,865,686","109,270",2260,"4,967,409"
La Sonora Dinamita,"4,860,932","298,427",1691,"6,185,363"
Yiyo Sarante,"4,859,799","245,335",1694,"5,858,949"
Fatboy Slim,"4,859,696","266,180",1083,"7,929,652"
Surf Mesa,"4,858,049","233,773",1686,"5,699,227"
Ashnikko,"4,855,277","185,414",1259,"6,626,552"
NEIMY,"4,852,409","284,240",2223,"4,852,409"
Claude Debussy,"4,851,183","269,950",1500,"6,362,621"
Swarnalatha,"4,846,901","229,514",2018,"5,246,932"
Aditya A,"4,845,579","211,563",1213,"7,472,939"
IP Singh,"4,840,208","238,658",1919,"5,662,892"
FELIX!,"4,839,501","202,208",1852,"5,949,956"
Justin Hurwitz,"4,839,097","233,498",1833,"5,867,268"
Rupert Holmes,"4,838,188","291,819",1950,"5,116,268"
Nes,"4,838,087","248,701",1536,"6,352,239"
Anar,"4,836,273","198,943",2316,"4,905,801"
Rionegro & Solimões,"4,834,060","217,946",2287,"4,958,997"
Daniel Hope,"4,832,252","258,099",1778,"5,851,053"
Old Jim,"4,831,751","201,245",1803,"5,779,019"
Antônio Carlos Jobim,"4,829,647","270,863",2306,"4,842,738"
Peter Gabriel,"4,826,550","254,051",1504,"5,916,206"
Tarcísio do Acordeon,"4,826,250","225,585",1294,"7,270,029"
The La's,"4,825,453","290,544",2374,"4,825,453"
Dimension Latina,"4,822,864","221,388",1870,"5,841,238"
Matisse,"4,822,566","190,087",1253,"7,732,700"
Kita Alexander,"4,819,489","270,183",2398,"4,819,489"
Florence Welch,"4,817,608","220,062",2356,"4,853,637"
Dharius,"4,817,311","168,801",1881,"5,566,234"
Unnikrishnan,"4,814,447","219,780",2322,"4,814,447"
ChiChi Peralta,"4,813,264","311,106",1956,"5,498,645"
Ari Abdul,"4,813,165","206,137",1635,"5,999,074"
Mandy Moore,"4,810,607","245,218",1803,"5,413,499"
AYLIVA,"4,808,251","196,787",2005,"5,567,346"
Billen Ted,"4,806,194","180,412",1269,"8,098,414"
Maverick City Music,"4,805,998","177,671",2280,"4,879,657"
Tori Kelly,"4,804,043","240,672",1212,"8,069,333"
Mahmood,"4,803,750","156,834",1287,"7,734,518"
Paul Anka,"4,801,215","305,163",2185,"5,074,368"
Wings,"4,800,825","228,088",1659,"5,856,394"
Meryl Streep,"4,799,269","206,879",2150,"4,861,964"
Uncle Kracker,"4,798,977",-145,1758,"5,563,301"
Yasmin Santos,"4,798,783","340,670",2414,"4,798,783"
SNAP!,"4,794,226","307,217",2069,"5,390,052"
ThxSoMch,"4,793,839","176,208",783,"9,386,209"
Mert Demir,"4,789,207","166,760",2302,"4,863,720"
Quality Control,"4,788,148","187,375",1305,"6,462,956"
Yann Tiersen,"4,787,283","259,791",2406,"4,787,283"
Jay Rock,"4,783,541","208,719",1758,"5,630,517"
LSD,"4,782,201","226,253",1656,"6,283,401"
Daveed Diggs,"4,779,813","197,511",1560,"6,498,315"
Stephanie Beatriz,"4,778,192","211,420",1565,"6,678,980"
Almighty,"4,777,239","214,085",2408,"4,777,239"
Marracash,"4,774,102","135,601",1841,"5,579,054"
Adriel Favela,"4,773,438","208,916",1218,"7,170,042"
Pretenders,"4,771,354","260,595",704,"11,921,055"
Codiciado,"4,771,259","184,619",1171,"7,311,880"
Pancho Barraza,"4,769,746","213,525",1978,"5,183,485"
Blue Öyster Cult,"4,763,244","252,580",1439,"6,681,264"
Complexo dos Hits,"4,758,371","229,643",1200,"8,337,760"
Aditya Rikhari,"4,755,850","134,222",1908,"5,273,515"
Los Primos MX,"4,754,824","209,543",2266,"4,942,709"
VISXGE,"4,754,172","185,606",2152,"5,193,065"
A Day To Remember,"4,752,962","163,010",1803,"5,251,262"
Madism,"4,751,196","226,357",1269,"6,536,394"
Mr.Kitty,"4,750,268","199,523",1065,"7,435,156"
Salif Keita,"4,750,175","309,317",2438,"4,750,175"
Mason,"4,749,341","193,257",1563,"6,696,070"
Mc J Mito,"4,748,599","254,431",2440,"4,748,599"
Peter Bjorn and John,"4,746,286","227,388",2293,"4,830,949"
Mano,"4,745,732","214,839",2157,"5,138,870"
KT Tunstall,"4,745,085","236,403",1888,"5,737,843"
Godsmack,"4,744,993","183,625",1794,"5,212,059"
BENEE,"4,744,624","220,290",1188,"6,861,046"
Bea Miller,"4,742,780","218,337",1078,"7,414,206"
YSY A,"4,742,135","135,390",1349,"7,331,237"
BK,"4,741,951","178,907",2403,"4,741,951"
Abhijeet Srivastava,"4,740,388","300,915",2449,"4,740,388"
310babii,"4,739,285","196,025",1653,"6,438,489"
Paloma Mami,"4,732,969","214,887",800,"9,021,292"
João Bosco & Vinicius,"4,726,147","276,907",1851,"5,747,890"
Saint Motel,"4,723,340","185,710",1975,"5,584,094"
UZI,"4,721,714","128,546",1762,"5,835,443"
Princess Superstar,"4,720,270","183,413",1592,"6,606,150"
Bnxn,"4,718,198","191,011",2053,"4,884,497"
Maninder Buttar,"4,715,143","325,533",1675,"5,898,813"
Tech N9ne,"4,715,054","222,328",1947,"5,668,179"
Dedublüman,"4,714,157","141,182",2161,"4,830,448"
Naresh Kamath,"4,712,455","222,084",2179,"4,782,679"
Obongjayar,"4,712,097","254,941",1590,"6,232,445"
Todah Music,"4,711,382","178,746",2424,"4,711,382"
The Score,"4,711,203","200,052",1576,"5,570,597"
La Ley,"4,710,220","255,952",1503,"5,967,833"
Bipolar Sunshine,"4,709,417","251,893",2294,"4,709,417"
Lit,"4,707,545","267,338",2391,"4,759,494"
Dardan,"4,707,367","157,509",1823,"5,315,807"
AKDO,"4,706,565","129,695",2342,"4,836,072"
"Dream, Ivory","4,705,409","173,722",2391,"4,705,409"
Chris MC,"4,704,343","196,500",1733,"5,512,436"
Remmy Valenzuela,"4,702,746","222,592",2210,"4,990,719"
NDX A.K.A.,"4,698,940","209,731",1891,"5,428,488"
Showtek,"4,697,969","174,102",2018,"5,277,254"
Big Thief,"4,697,969","216,304",2335,"4,697,969"
Drowning Pool,"4,692,950","205,105",2235,"4,788,052"
Ele A El Dominio,"4,692,510","163,332",2376,"4,792,292"
Kaskade,"4,692,335","505,683",1305,"6,562,786"
Flow G,"4,692,247","175,938",2314,"4,881,653"
Legião Urbana,"4,691,370","233,374",2200,"4,961,151"
Skid Row,"4,685,073","264,408",2291,"4,947,961"
CJ,"4,683,679","230,735",1576,"5,856,465"
Mc Kako,"4,681,071","190,692",1954,"5,424,888"
Javed Bashir,"4,679,595","241,598",2483,"4,679,595"
Janine,"4,678,122","218,822",2470,"4,678,122"
Paresh Kamath,"4,677,862","220,060",2190,"4,765,972"
Yoko Gold,"4,674,318","251,500",1618,"6,291,986"
Megadeth,"4,672,163","191,613",1649,"5,357,683"
Jamie xx,"4,668,981","222,516",2109,"5,269,751"
Juicy J,"4,667,351","190,758",1793,"5,178,030"
Raim Laode,"4,666,323","173,384",913,"8,878,058"
Andi Rianto,"4,662,818","164,258",1960,"5,629,278"
R. Kelly,"4,662,732","242,519",1983,"4,966,952"
King Gnu,"4,659,920","173,891",1504,"6,715,161"
Tai Verdes,"4,658,558","207,469",1207,"7,228,251"
Happy Asmara,"4,658,213",0,2250,0
Tyler Braden,"4,656,520","151,570",2381,"4,714,516"
Pashanim,"4,656,351","119,488",1925,"5,720,093"
ITZY,"4,654,147","153,677",1290,"7,505,242"
Paolo Nutini,"4,652,033","220,129",1851,"5,335,879"
Jordin Sparks,"4,651,358","265,942",1761,"5,423,547"
