name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Home,34JL3n6rUwQbuDCYl43ozx,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,48,0,True,0.527,0.329,5,-11.107,0,0.593,0.866,0.0,0.594,0.688,88.526,111031,3
Gang Over Luv,7LaI3mRTJu66r9HKdv7iBx,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,67,0,False,0.781,0.277,8,-9.35,1,0.326,0.0408,0.000339,0.0754,0.302,163.987,204841,4
Burn One (Interlude),6WgkOAIOPoumdilSCdYFPB,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,59,0,False,0.693,0.278,3,-11.715,0,0.114,0.79,0.0,0.366,0.862,85.076,108562,3
First World Problemz / Nobody Carez,042wd4CrF4WTAwiKs0F7Ve,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,55,0,True,0.582,0.502,3,-11.053,0,0.102,0.259,0.000378,0.16,0.555,85.629,350549,4
Missin Out,2Lwe7PQk7mROzGezTrRVap,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,56,0,True,0.324,0.172,7,-14.314,1,0.0553,0.97,0.000464,0.108,0.374,78.011,233340,4
Stay Down,4mwiRPRAUSSFD6lJ86m98B,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,64,0,False,0.551,0.301,11,-13.065,1,0.111,0.617,1.1e-05,0.136,0.488,84.695,207326,4
L.A.,3phwC9mMlIwLuTuhReiYia,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,56,0,True,0.517,0.598,8,-10.251,0,0.1,0.275,0.000542,0.276,0.528,140.131,316045,4
Talk 2 U,1Xm9CQRcJbOgTCpKCpS9s5,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,67,0,False,0.688,0.634,5,-10.443,0,0.0929,0.14,0.000263,0.253,0.561,88.018,159485,4
Sonder Son (Interlude),1uzVgNkXqQC7hsJhFZ749o,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,57,0,False,0.461,0.303,2,-11.137,1,0.0543,0.746,8.98e-06,0.223,0.099,152.862,100304,4
So Far Gone / Fast Life Bluez,3Lj4DA8yaVF17X2buYZGJC,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,53,0,True,0.511,0.439,9,-11.79,0,0.218,0.841,3.12e-05,0.225,0.124,159.815,331018,4
Needed,1P5l3fAjZ7Z9XTmFHzSck5,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,54,0,False,0.807,0.37,4,-10.783,0,0.0462,0.308,0.0,0.191,0.792,123.948,248293,4
All I Want,3JtlNOV0Huz9O9Ten4cUXV,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,51,0,False,0.798,0.465,4,-9.849,0,0.0843,0.242,0.000268,0.102,0.892,83.042,175328,4
Biochemical,7nlK1F6iJ3Aih70YkltfJS,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Biochemical,54,0,False,0.696,0.946,10,-4.208,0,0.0649,0.00237,0.739,0.21,0.14,125.973,163810,4
This Means War,4i76vmvahz5a4MhinU59sI,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,52,0,False,0.559,0.967,10,-3.157,0,0.0777,3.74e-05,0.276,0.328,0.806,133.992,200667,4
Bottoms Up,0FnugIN4Slm0weQqL8OXEM,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,57,0,False,0.667,0.855,0,-3.088,1,0.0335,0.000249,0.0479,0.0888,0.868,113.99,217427,4
When We Stand Together,4bCOAuhvjsxbVBM5MM8oik,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,65,0,False,0.446,0.9,10,-3.541,0,0.0489,0.000102,1.89e-05,0.0404,0.88,187.961,190787,4
Midnight Queen,7dmlNBKi70BPZCTdyIsNww,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,45,0,False,0.494,0.972,1,-2.789,1,0.142,1.48e-05,0.031,0.183,0.618,159.981,194747,4
Gotta Get Me Some,1moK0N5GaJKO2XHsm4snkU,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,53,0,False,0.606,0.95,10,-3.212,0,0.0701,0.00113,1.46e-05,0.0462,0.844,81.006,221680,4
Lullaby,2vBiZ7nBe0OqTZKWGP0s4K,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,62,0,False,0.508,0.832,11,-4.395,1,0.032,0.000372,0.0,0.0859,0.404,136.004,228107,4
Kiss It Goodbye,69LZRWOzjBJAnlxi0OaMT8,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,43,0,False,0.658,0.903,4,-3.759,1,0.0281,1.7e-05,0.057,0.313,0.911,109.78,215027,4
Trying Not to Love You,4Dq75eGDLZGM9EGP0XHbo2,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,57,0,False,0.473,0.924,11,-4.297,0,0.0446,0.0132,0.0,0.184,0.41,160.017,251880,4
Holding on to Heaven,3Bi9awIplCSHPkoeh3BUbk,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,43,0,False,0.494,0.944,4,-3.495,1,0.0607,0.000569,0.00277,0.345,0.319,156.022,231893,4
Everything I Wanna Do,5fTe2DXvG0O64JibAsw0f6,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,42,0,False,0.454,0.965,8,-4.071,1,0.051,0.000123,8.09e-05,0.141,0.418,76.984,206947,4
Don't Ever Let It End,2Cr2aD7NuH4auhbjJACOwA,Nickelback,6deZN1bslXzeGvOLaLMOIF,Here and Now,43,0,False,0.45,0.951,9,-4.288,1,0.0399,0.00109,1.12e-05,0.185,0.784,168.156,229453,4
The Long Run - 2013 Remaster,2YOwVfcUTRjNpcLny4UC4r,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),58,0,False,0.803,0.521,0,-7.775,1,0.0276,0.139,0.00899,0.081,0.969,99.46,221234,4
I Can't Tell You Why - 2013 Remaster,02BsTeJE4q5gWOTt58ur5U,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),64,0,False,0.707,0.346,11,-12.397,0,0.0251,0.69,0.145,0.1,0.49,85.094,295050,4
In the City - 2013 Remaster,3fgch6faHYPKqE6C3hIYfo,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),59,0,False,0.448,0.55,9,-7.427,1,0.026,0.0226,0.205,0.0425,0.709,81.814,224550,4
The Disco Strangler - 2013 Remaster,78U90p4TcobvI6uutxiVd9,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),33,0,False,0.738,0.54,9,-7.759,0,0.0446,0.0405,0.00199,0.329,0.937,110.028,164557,4
King of Hollywood - 2013 Remaster,5dj5SVwwivA8ylEBCugmkD,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),37,0,False,0.747,0.425,4,-10.027,1,0.0275,0.0281,0.626,0.327,0.906,87.993,387733,4
Heartache Tonight - 2013 Remaster,2bzgKuK3pVez40qUvo8sYr,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),61,0,False,0.81,0.511,0,-6.454,1,0.0409,0.0778,0.000226,0.0714,0.858,113.153,265678,4
Those Shoes - 2013 Remaster,13TrgZ4RqtjXd8w9wAuwxE,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),48,0,False,0.62,0.425,11,-9.309,0,0.039,0.0322,0.0551,0.0845,0.893,156.104,294835,4
Teenage Jail - 2013 Remaster,3kCeW0MrNq1A8G22ExoZj0,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),29,0,False,0.453,0.388,9,-8.158,1,0.0472,0.183,0.0262,0.596,0.28,116.073,223988,3
The Greeks Don't Want No Freaks - 2013 Remaster,32DN4R5owcwqs7I4kPFfl3,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),31,0,False,0.634,0.891,0,-7.083,1,0.0281,0.00401,0.38,0.176,0.94,136.266,138398,4
The Sad Cafe - 2013 Remaster,2OmmQuGEUq0aDWlbu3qAHw,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),45,0,False,0.784,0.322,11,-11.455,1,0.0297,0.687,0.0142,0.0598,0.524,102.113,332950,4
The Chase - Instrumental,52GysPJ3rCVZU22hjWnRbi,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),14,0,False,0.477,0.439,10,-10.779,1,0.0775,0.00259,0.756,0.178,0.279,103.556,171996,4
Headlow - Instrumental,56oEOc0pY8GG5n8HjEDGKF,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),13,0,False,0.775,0.66,11,-9.397,0,0.0614,0.000211,0.847,0.133,0.558,100.0,211480,4
Tints - Instrumental,3YGGVVwycwIkjEkHBXWJSO,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),18,0,False,0.786,0.656,1,-9.638,0,0.106,0.0074,0.945,0.154,0.426,109.01,266890,4
Who R U? - Instrumental,5PKOECiIT1jLp98vXvfU6d,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),12,0,False,0.747,0.903,1,-10.201,0,0.115,0.00251,0.893,0.0833,0.44,92.014,169280,4
6 Summers - Instrumental,4UsbfDicBpFW4emGW14U0A,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),12,0,False,0.635,0.568,5,-14.325,0,0.4,0.00971,0.606,0.118,0.194,93.19,281693,4
Saviers Road - Instrumental,0jPS2q6E8gsNLupi2rk94O,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),12,0,False,0.526,0.393,10,-8.705,1,0.0477,0.000447,0.603,0.132,0.129,88.624,148480,4
Smile/Petty - Instrumental,1fM7H6Z7GbxlM7jxTzZ94J,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),12,0,False,0.632,0.387,2,-9.067,1,0.103,0.0104,0.613,0.0827,0.659,92.068,286293,4
Mansa Musa - Instrumental,5acoVKL63SkhQAVDRlv7uS,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),11,0,False,0.734,0.808,2,-7.012,1,0.0552,1.4e-05,0.856,0.322,0.165,91.506,171813,4
Brother's Keeper - Instrumental,1UqfB0IWo1iropmsJQqsWl,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),12,0,False,0.741,0.548,9,-8.942,0,0.0368,0.000102,0.864,0.0876,0.174,106.879,255467,4
Anywhere - Instrumental,2e7CTpegxms8RL0a36l7ly,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),14,0,False,0.764,0.46,1,-10.179,1,0.117,0.292,0.866,0.164,0.787,78.988,233071,4
Trippy - Instrumental,4f8Nnu4CvlINSZeVykQVW0,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),13,0,False,0.744,0.3,2,-10.069,1,0.0796,0.0037,0.188,0.132,0.141,97.064,300307,4
Cheers - Instrumental,6MNSRfGKrdHakm48sOJ4nr,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),12,0,False,0.629,0.294,11,-11.659,0,0.344,0.00139,0.807,0.0937,0.164,89.008,332747,4
Sweet Chick - Instrumental,44Q8S3OLIcRG5G1uK46a82,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),11,0,False,0.748,0.557,3,-10.139,0,0.0855,0.000132,0.853,0.0781,0.366,82.991,206203,4
Left To Right - Instrumental,4TbMamCgu9BGzBnL8Zvk8J,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard (Instrumentals),10,0,False,0.768,0.773,8,-8.991,1,0.0761,0.000138,0.918,0.0659,0.294,98.0,228720,4
Elemental,5Eg2fJOjmEQ6KhMReEnNmD,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,41,0,False,0.473,0.861,5,-7.477,0,0.038,0.0125,0.106,0.341,0.609,175.789,330973,4
Cold,1FTscr8G9Jz8xbPrqK4S0W,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,35,0,False,0.433,0.801,9,-6.825,1,0.0535,0.138,0.0657,0.154,0.437,176.102,303907,4
Break It Down Again,15kc3DJyYixeEEq5kRRrOm,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,59,1,False,0.681,0.742,5,-7.0,1,0.0249,0.0134,0.422,0.121,0.486,109.001,271533,4
Mr. Pessimist,5xdcrXDn0Xrj8V55eJvs5D,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,34,0,False,0.588,0.636,5,-9.968,0,0.0298,0.221,0.0633,0.0497,0.709,88.579,376640,4
Dog's A Best Friend's Dog,4lCva5ZLBaY8SJ8emuWTW3,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,31,0,False,0.599,0.852,8,-6.632,1,0.0297,0.00908,0.671,0.409,0.714,101.193,218027,4
Fish Out Of Water,3U5ALoVTLeaZUyyJeQq7KE,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,30,0,False,0.503,0.822,9,-7.059,0,0.0321,0.177,0.292,0.147,0.466,84.521,307373,4
Gas Giants,2kyDQIk77ndguktDRznSPb,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,26,0,False,0.474,0.311,5,-16.835,0,0.0286,0.646,0.93,0.291,0.357,90.052,160533,4
Power,4uFiwxrTRu0v1hfvNozoX9,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,27,0,False,0.578,0.782,7,-9.792,1,0.0321,0.0277,0.56,0.443,0.459,109.294,349600,4
Brian Wilson Said,0AZ5WS5MdwrmzPVp51VlG6,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,26,0,False,0.443,0.31,9,-14.313,0,0.0309,0.647,0.213,0.123,0.159,115.959,262267,3
Goodnight Song,77O2Awv2GrFf6SBras7JhV,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Elemental,51,0,False,0.592,0.806,0,-6.721,1,0.0319,0.0227,0.000911,0.554,0.662,123.641,233427,4
Started From,03cBu30KbreokkrclGPQf8,Lil Durk,3hcs9uc56yIGFCSy9leWe7,7220,44,0,True,0.624,0.561,7,-8.757,1,0.476,0.0895,0.0,0.109,0.357,159.186,121060,4
Headtaps,3HWQrKGmb05pcNoTIzzBwL,Lil Durk,3hcs9uc56yIGFCSy9leWe7,7220,49,0,True,0.562,0.609,5,-7.672,1,0.279,0.0461,0.0,0.131,0.38,158.803,173880,4
AHHH HA,2bPI4TKM4oTxl2SijUXM2J,Lil Durk,3hcs9uc56yIGFCSy9leWe7,7220,57,0,True,0.676,0.61,1,-9.185,1,0.273,0.000114,1.73e-06,0.191,0.519,156.005,186538,4
Shootout @ My Crib,23PzodQrNGxbywlba84Rva,Lil Durk,3hcs9uc56yIGFCSy9leWe7,7220,44,0,True,0.754,0.553,10,-8.777,0,0.394,0.06,0.0,0.108,0.195,90.6,153813,4
