name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
As You Move Through The World,1UoNPvDGbt1kWbT0TNdNvP,MGMT,0SwO7SWeDHJijQ3XNS7xEE,As You Move Through The World,26,0,False,0.204,0.517,2,-12.12,1,0.0417,0.555,0.582,0.0797,0.06,152.596,455533,4
Talk To Me Nice,0k4C2siRScZQAb7eIEQDI5,Tinashe,0NIIxcxNHmOoyBx03SfTCD,Talk To Me Nice,42,0,False,0.803,0.49,8,-8.4,1,0.0617,0.61,0.0289,0.112,0.207,75.515,229844,4
Loko,6MsbMIHQL3ZM6RUWb2F8tU,Xavi,3Me35AWHCGqW4sZ7bWWJt1,Loko,50,0,False,0.638,0.774,5,-3.757,1,0.109,0.425,0.0,0.259,0.529,91.281,128740,3
Plainsong - 2010 Remaster,7MkWXuDcqo09FmVut8Ugkl,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),37,0,False,0.361,0.428,0,-9.282,1,0.0306,0.00451,0.66,0.0879,0.125,86.884,317347,4
Pictures of You - 2010 Remaster,209r0VNkLHuAMVnJ97AdaY,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),41,0,False,0.484,0.776,9,-6.48,1,0.0312,0.00371,0.109,0.131,0.495,171.935,448467,4
Closedown - 2010 Remaster,4iUgeqlt2Fks3nCZOYyTeQ,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),35,0,False,0.516,0.748,4,-7.184,1,0.0281,0.292,0.763,0.11,0.719,93.927,258853,4
Lovesong - 2010 Remaster,6EzSoYhar0mao5LV9i0uFh,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),40,0,False,0.611,0.813,9,-7.689,0,0.0279,0.339,0.898,0.224,0.821,140.112,209573,4
Last Dance - 2010 Remaster,43Bvx81eKdmyURJwAIR19L,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),34,0,False,0.322,0.785,9,-6.346,0,0.0534,0.444,0.587,0.191,0.446,184.01,285067,4
Lullaby - 2010 Remaster,7oNg2UTfQIs0IafmyzRc0g,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),38,0,False,0.718,0.557,9,-10.679,1,0.0328,0.185,0.707,0.055,0.586,94.095,249880,4
Fascination Street - 2010 Remaster,49gCfmOmL7FOflCHMC5Nz2,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),39,0,False,0.508,0.91,0,-5.743,0,0.0786,0.00134,0.465,0.15,0.491,100.058,316173,4
Prayers for Rain - 2010 Remaster,2430ijmTT7H9md0i8YuwYf,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),34,0,False,0.563,0.683,7,-7.662,1,0.027,0.00472,0.0851,0.0839,0.108,116.964,368307,4
The Same Deep Water as You - 2010 Remaster,05d90KDSSlsK7I0ihRJRv1,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),35,0,False,0.325,0.805,9,-8.43,0,0.0768,0.529,0.277,0.926,0.174,199.891,562907,4
Disintegration - 2010 Remaster,3UhLbKTnEqjRiZyKhzkRyD,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),39,0,False,0.593,0.943,2,-5.948,1,0.0568,0.308,0.0284,0.366,0.125,122.02,499973,4
Homesick - 2010 Remaster,6pjeFxuw6VLDqhYUKNEuvH,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),34,0,False,0.491,0.696,9,-8.706,0,0.0258,0.118,0.695,0.121,0.528,156.014,427280,4
Untitled - 2010 Remaster,3KwSkeKjuTRSwcN5cGp2ym,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (2010 Remaster),35,0,False,0.665,0.689,7,-9.057,1,0.0316,0.571,0.0909,0.0868,0.182,95.048,393093,4
Si Te Preguntan... - feat. Nicky Jam & Jay Wheeler,20yLo8tCAM1LXixAdBf3f2,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Si Te Preguntan... (feat. Nicky Jam & Jay Wheeler),61,0,False,0.76,0.803,8,-2.867,0,0.0306,0.531,0.0,0.0555,0.922,136.945,223074,4
Forget You,1YWr18dWRmuvPgAsPBsOow,FAST BOY,56Qz2XwGj7FxnNKrfkWjnb,Forget You,69,1,False,0.708,0.709,7,-5.881,0,0.0641,0.157,1.9e-06,0.142,0.511,128.034,147987,4
Misery - Lincoln Jesser Remix,1tm2UoMFHuY1JFG1HuRSz0,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,Misery (Remixed),10,0,False,0.686,0.637,7,-6.095,1,0.0534,0.0309,0.0,0.101,0.32,97.548,230120,4
Misery - Division 4 & Matt Consola Extended Remix,2D3D6oxXl9aa1XRZHkA9iW,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,Misery (Remixed),4,0,False,0.7,0.713,7,-6.032,1,0.0543,0.000246,0.000193,0.0317,0.507,120.0,384333,4
Misery - Steven Redant Club Mix,5cE15t4n1QLvJsJ9OMjazX,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,Misery (Remixed),7,0,False,0.595,0.937,7,-5.656,1,0.0436,0.0043,0.00112,0.217,0.378,125.981,262853,4
Heroes - Live,1oAhxXPTLPHHp3w4NAFEw7,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),16,0,False,0.44,0.641,7,-9.238,1,0.032,0.0748,0.0178,0.785,0.709,116.62,418197,4
Be My Wife - Live,3Pq95g7Zzbl42wGOf8RhrS,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),10,0,False,0.508,0.782,9,-7.119,0,0.037,0.561,0.0478,0.751,0.89,116.584,167245,4
Blackout - Live,2hY3AVFV428amZ34XsE1t5,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),10,0,False,0.493,0.727,7,-6.37,1,0.0432,0.637,9.7e-06,0.737,0.861,123.544,208462,4
Sense of Doubt - Live,04MZPqzVa5IzBq0fxR4KxF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),9,0,False,0.195,0.451,0,-22.048,1,0.0504,0.149,0.411,0.211,0.0374,91.956,189937,3
Breaking Glass - Live,3EAHQnuoXX7XB4CVZ38co4,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),9,0,False,0.66,0.528,9,-11.693,1,0.048,0.479,0.0199,0.777,0.952,102.417,210245,4
Fame - Live,6LUuE3MQMKYwbonbZYuE4v,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),9,0,False,0.655,0.421,11,-11.464,0,0.0343,0.781,0.00084,0.389,0.591,97.64,243014,4
Alabama Song - Live,2bQMP1X7yiuk5cbgLqP58T,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),8,0,False,0.394,0.473,0,-9.757,1,0.0671,0.754,0.0,0.776,0.531,84.627,242623,4
Rebel Rebel - Live,3zsMnQzuC6pCdPOcWvXigk,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Live In Berlin (1978),9,0,False,0.562,0.761,9,-7.932,1,0.0542,0.727,0.000556,0.922,0.772,134.117,211372,4
Beautiful Things,1bRvdVkHjTjYSRF758jnYh,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Clean Pop 2024,22,0,False,0.467,0.471,10,-5.692,1,0.0704,0.151,0.0,0.14,0.221,105.09,180304,3
Training Season,4Dgsz98XSR0th0JmrdZKgh,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Clean Pop 2024,22,0,False,0.812,0.587,5,-4.483,0,0.0477,0.0349,2.64e-06,0.123,0.664,123.041,209488,4
I Remember Everything (feat. Kacey Musgraves),4BYZolujxWYoNOgELuT54B,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Clean Pop 2024,21,0,False,0.43,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.637,227196,4
I Don't Wanna Wait,4jMk2VDm9ZYbqfecInyTDS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Clean Pop 2024,22,0,False,0.68,0.714,1,-4.617,0,0.0309,0.0375,0.0,0.232,0.554,129.978,149668,4
Backslide,4OOwDtyEcEepMRUVP3Rnde,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Clean Pop 2024,20,0,False,0.684,0.652,3,-6.258,1,0.26,0.128,0.0,0.0719,0.541,85.104,180000,4
Lose Control,13pSPqqL0qBjZYJIetub8L,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,Clean Pop 2024,21,0,False,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
Strangers,3OsnQYqSoliYsw8qKWRKgH,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,Clean Pop 2024,21,0,False,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.983,172965,4
Scared to Start,4RHlVxQi4ISO4CYQGibTpL,Michael Marcagi,4j96cMcT8GRi11qbvo1cLQ,Clean Pop 2024,20,0,False,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,159636,4
Dance Alone,3oOao6CfKILCKNv6iUTU4g,Sia,5WUlDfRSoLAfcVSX1WnrxN,Clean Pop 2024,20,0,False,0.687,0.651,1,-4.756,1,0.0419,0.00296,0.26,0.0822,0.508,119.961,172246,4
Bigger Houses,6OnLMmSTJzFExuU4hFs5lb,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,Clean Pop 2024,20,0,False,0.631,0.513,7,-6.426,1,0.025,0.546,0.0,0.125,0.559,139.862,197067,4
adore u,3jWVf33IAhUPU33mqNijvk,Fred again..,4oLeXFyACqeem2VImYeBFe,Clean Pop 2024,20,0,False,0.747,0.867,0,-7.311,1,0.088,0.582,0.00413,0.114,0.684,124.014,220653,4
Before You Leave Me,4RaP2pDEWmx17RvAPQd46E,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,Clean Pop 2024,20,0,False,0.702,0.84,4,-5.382,1,0.0657,0.151,0.0,0.081,0.639,120.035,176178,4
My Oh My,1W1zseU89LtEgCqr8gLo61,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Clean Pop 2024,20,0,False,0.691,0.856,11,-3.899,1,0.0383,0.0174,4.76e-05,0.111,0.637,117.081,156155,4
Blue Over You,7hdADdMKbtrwXx2aYRGjBx,Mason Ramsey,6xvpfMjWTougrRRtK7iikz,Clean Pop 2024,19,0,False,0.378,0.236,3,-11.327,1,0.0326,0.917,0.016,0.115,0.247,120.672,245511,4
Illusion,3Oj3UJO96MEcOi7fwyE1mo,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Clean Pop 2024,20,0,False,0.677,0.763,8,-4.701,0,0.0471,0.0235,2.04e-06,0.0894,0.719,126.962,188143,4
Ways To Go (feat. Khalid),0Ho85IUAVd1Eo3xrgi2Ipp,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Clean Pop 2024,19,0,False,0.652,0.621,3,-4.91,0,0.0386,0.635,0.0,0.069,0.747,80.033,154706,4
STUPID IN LOVE (feat. HUH YUHNJIN),6N02m7fFVG6BFVtxPSB5dt,MAX,1bqxdqvUtPWZri43cKHac8,Clean Pop 2024,19,0,False,0.656,0.695,8,-5.295,0,0.103,0.0824,0.0,0.38,0.589,152.859,173336,4
Dust,2jf3padpD2CfLswn9uMbgj,Galantis,4sTQVOfp9vEMCemLw50sbu,Clean Pop 2024,19,0,False,0.492,0.841,1,-3.91,0,0.0573,0.0683,1.82e-06,0.352,0.196,124.942,169506,4
Slow It Down,3tjcY4cQEtxgp5SSoSd6D5,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Clean Pop 2024,29,0,False,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,161831,4
You Were Mine,6bCwMtUz52TAQFWxT3v6nH,Forest Blakk,7q7IUe2AqtifSZ2q52kHFc,Clean Pop 2024,19,0,False,0.541,0.577,9,-5.605,1,0.0329,0.573,0.0,0.0853,0.321,127.741,171525,4
Te Encontré,7l75lYs5TM7BsGS17ojWQe,Ulices Chaidez,5npvUMe1CGnIhTX7OaLGVV,Te Encontré,59,1,False,0.696,0.694,11,-1.333,1,0.0303,0.668,0.0,0.0848,0.543,138.101,197107,3
Noche Primavera,2k27NZDlbYUf2Dfh7C2CQg,Manú,3iyr6xJPyHx8ptqqzMHDVE,Noche Primavera,45,1,False,0.784,0.81,7,-4.374,1,0.0392,0.518,0.0,0.0905,0.758,124.981,199278,4
Grand - TroyBoi Remix,4CzvdvPAiMCyxQunCKtQHC,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,Grand (TroyBoi Remix),34,0,False,0.678,0.612,6,-7.274,0,0.0761,0.00167,0.00907,0.176,0.528,179.998,149500,4
Obama Speaks Fuckemweball,04khndODRhnsevKrske2B6,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,3,0,True,0.698,0.842,5,-3.282,1,0.271,0.903,1.37e-05,0.0921,0.947,105.389,38844,3
Champaign,1c9MVPEIbhyTL1bdjOROUj,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,10,0,True,0.699,0.692,2,-4.205,1,0.111,0.00132,0.0,0.134,0.345,77.495,173479,4
Dynomite,3ydf7rAIc662btvaU0XscV,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,6,0,True,0.664,0.686,8,-5.503,0,0.0461,0.000222,0.0,0.192,0.133,149.971,194142,4
Still in This Bitch,5zVSVrglqy8YEHXKUdEWRK,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,24,0,True,0.693,0.771,1,-3.808,1,0.154,0.0119,0.0,0.0957,0.453,140.005,247353,4
Curtis Snow Speaks,1tHxiKtLmmymYyRW8RMOiC,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,3,0,True,0.628,0.295,3,-9.369,1,0.67,0.688,0.0,0.304,0.887,53.848,49685,4
Fuck Em We Ball,1EgLzuwrDNtyO2DsrPUsF2,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,12,0,True,0.488,0.94,2,-3.074,1,0.234,0.00694,0.0,0.21,0.411,150.31,268539,4
Be There,1Cvq4yKEzse45O96a4HJ8V,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,7,0,True,0.556,0.905,0,-5.42,0,0.0533,0.0131,0.0,0.173,0.175,159.878,241998,4
Everything,1xJCXp0Jnw8ZXQJEplrXdc,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,8,0,True,0.692,0.895,5,-4.404,0,0.118,0.0595,0.0,0.116,0.719,76.97,224967,4
Alright,0h8ltUzioI9eHpoWVqjdYY,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,6,0,True,0.415,0.884,2,-4.788,1,0.0931,0.0446,0.0,0.209,0.202,78.063,215118,4
Playboy Tre Skit,1kjQDbIRr3Tcmj9IkBwVIg,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,2,0,True,0.542,0.817,2,-11.211,1,0.941,0.898,0.0,0.635,0.395,86.297,108069,4
When You Gon Let Me Fuck,64cul7McCUqjKX2HRwl8bE,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,5,0,True,0.546,0.902,3,-4.369,0,0.0749,0.00171,0.0,0.249,0.615,139.572,235677,4
Best Friend,1Sk7FFXloAUf1X5B64s4IL,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,25,0,True,0.713,0.649,1,-6.204,0,0.483,0.019,0.0,0.0826,0.385,77.406,279092,4
Greedy Love,6SrmQmAiZpn9zf2n6tuVlb,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,5,0,True,0.615,0.874,1,-4.762,1,0.08,0.0015,0.0,0.191,0.63,136.097,211618,4
So Blowed,41P5VCdieAyBCXEmDAAsD0,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,11,0,True,0.628,0.573,11,-5.84,1,0.0524,0.0184,1.15e-05,0.139,0.12,177.04,185652,4
Spend It,1ipOsx7DeSn9vyizg9KZGw,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,6,0,True,0.449,0.848,4,-5.671,1,0.233,0.00197,5.3e-06,0.558,0.368,143.76,243958,4
Kevin Hart Speaks,6WPc6ADBu1tKzA2J2DPTZi,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,2,0,True,0.524,0.936,2,-4.536,0,0.536,0.954,0.000347,0.94,0.568,136.713,59429,4
Roll One Up,5MaiO8A9VqLlmMWmcaVuLf,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,8,0,True,0.631,0.649,4,-8.244,1,0.128,0.239,0.0,0.114,0.253,74.03,272013,4
Hell of a Night,1cHLrkkHCBQc4yLNL7EPgb,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Fuck Em We Ball,8,0,True,0.667,0.838,7,-5.043,1,0.113,0.000266,0.0,0.641,0.682,129.726,212872,4
Digane,2jRH7jNpx7kqTHLyay4Fhe,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Digane,50,0,False,0.418,0.764,4,-5.67,0,0.0339,0.00413,0.0355,0.258,0.425,117.083,162702,4
Digane - Extended,4mVVWxY6kJKepJRJluxcQ9,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Digane,27,0,False,0.685,0.726,2,-6.98,1,0.0394,0.000539,0.329,0.0559,0.268,123.998,285742,4
Strong,5bF00VrMY3FwnQDgoP4Gnk,Romy,3X2DdnmoANw8Rg8luHyZQb,Strong,57,0,False,0.576,0.825,4,-6.742,1,0.047,0.0707,0.259,0.337,0.311,133.977,234053,4
26,0du67LyuJeUjQChxl8rTa8,Lauv,5JZ7CnR6gTvEMKX4g70Amv,26,41,0,False,0.643,0.458,6,-8.636,1,0.0875,0.809,0.00015,0.237,0.506,164.16,159608,4
Diran De Mi,57pe0wF0RgVPtcR4f1eXH2,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,61,0,True,0.576,0.635,10,-5.604,1,0.0535,0.555,0.0,0.0673,0.852,100.762,161467,3
Mas Altas Que Bajadas,4Zx0yrZwW4uNpd1FhIrOV5,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,75,0,True,0.577,0.573,7,-7.622,0,0.156,0.00561,0.0,0.0999,0.588,181.072,193333,3
La Lokerona,3A2UK3SykAxeo3jeQv9ekR,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,62,0,True,0.773,0.722,7,-8.253,0,0.0366,0.0326,0.0,0.067,0.887,132.995,194000,3
Un Convoy,0y6i1ZmaMj3jD6UxN0Aluu,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,59,0,True,0.743,0.508,0,-6.875,0,0.0308,0.311,0.0,0.103,0.849,135.07,158000,3
Pancake,7ctRhcAiTBQLsH64s93sN4,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,68,0,True,0.735,0.667,9,-6.431,0,0.0285,0.359,0.0,0.151,0.755,135.936,182667,3
Viejo Lobo,1UwCSHDl10Hga2jswZ6plN,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,62,0,True,0.68,0.627,1,-6.484,0,0.0707,0.216,0.0,0.319,0.823,143.858,170000,3
AFS,7Fxb0ErkBj37nNQwmIhbRq,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,60,0,True,0.714,0.693,6,-6.989,0,0.043,0.0539,0.0,0.0712,0.7,140.966,242667,3
Eres,3FUVgc4ULS0t7X7sUBZ1UO,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,70,0,True,0.773,0.54,7,-7.407,0,0.0272,0.33,0.0,0.128,0.921,124.976,172360,3
Mi Bello Angel,4t46soaqA758rbukTO5pp1,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,79,1,True,0.807,0.665,9,-6.961,0,0.0497,0.0185,0.0,0.118,0.864,127.909,188667,3
En Corto,6PlLiHoRcjCgK5som2T3ph,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,66,0,True,0.799,0.791,5,-6.698,0,0.0476,0.472,0.0,0.313,0.93,130.037,182133,3
AMG,0FxtC8uFapbpDBliAU3sd6,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Nata Montana,75,1,True,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,174943,3
