name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Streets Of Heaven,1cnmxp3Na8HxQFLArjTwRI,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,Streets Of Heaven,42,0,False,0.367,0.174,6.0,-12.882,1.0,0.0411,0.879,0.0065,0.112,0.324,89.994,188854.0,4.0
Magical Mystery Tour - Remastered 2009,0qHMhBZqYb99yhX9BHcIkV,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),51,0,False,0.298,0.613,9.0,-9.065,1.0,0.0912,0.0385,3.98e-05,0.0734,0.338,170.61,170107.0,4.0
The Fool On The Hill - Remastered 2009,6rHh8urosEFRI67xVa6fzU,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),55,0,False,0.357,0.258,4.0,-10.577,0.0,0.0313,0.915,2.06e-06,0.105,0.499,144.19,179107.0,4.0
Flying - Remastered 2009,1itLKsCWHtLnxALkgBk1Fa,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),48,0,False,0.551,0.395,0.0,-14.755,1.0,0.0501,0.368,0.88,0.0932,0.261,92.926,135520.0,4.0
Blue Jay Way - Remastered 2009,0QIX9BS0AUCQcHYvyrsMkV,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),48,0,False,0.294,0.407,0.0,-11.576,1.0,0.0308,0.0262,0.000186,0.0852,0.0377,100.985,235067.0,4.0
Your Mother Should Know - Remastered 2009,1dxbAIfCASqv6jix2R1Taj,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),53,0,False,0.698,0.293,0.0,-11.361,1.0,0.0332,0.784,0.0105,0.0936,0.724,117.607,148413.0,4.0
I Am The Walrus - Remastered 2009,6Pq9MmkDQYZiiCDpxnvrf6,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),59,0,False,0.401,0.556,2.0,-10.532,1.0,0.0513,0.0829,0.00034,0.589,0.654,85.205,275867.0,4.0
"Hello, Goodbye - Remastered 2009",0vZ97gHhemKm6c64hTfJNA,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),59,0,False,0.479,0.733,0.0,-8.753,1.0,0.0257,0.306,2.4e-05,0.414,0.806,99.313,208840.0,4.0
Strawberry Fields Forever - Remastered 2009,3Am0IbOxmvlSXro7N5iSfZ,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),65,0,False,0.39,0.502,10.0,-12.277,1.0,0.178,0.336,0.000129,0.0713,0.289,97.873,247320.0,4.0
Penny Lane - Remastered 2009,1h04XMpzGzmAudoI6VHBgA,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),60,0,False,0.651,0.488,9.0,-8.22,1.0,0.0316,0.212,0.026,0.136,0.491,113.032,180893.0,4.0
"Baby, You're A Rich Man - Remastered 2009",0JBvtprXP2Z0LP3jmzA7Xp,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),50,0,False,0.619,0.625,7.0,-9.635,1.0,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307.0,4.0
All You Need Is Love - Remastered 2009,68BTFws92cRztMS1oQ7Ewj,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Magical Mystery Tour (Remastered),64,0,False,0.399,0.481,7.0,-7.768,1.0,0.0296,0.349,3.17e-05,0.155,0.652,103.379,230387.0,4.0
True Men Don't Kill Coyotes - 2002 Digital Remaster,3feCEAjM17x1fdQLmpbv98,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,36,0,False,0.641,0.899,11.0,-4.992,0.0,0.0787,0.0407,1.17e-06,0.118,0.562,110.745,220400.0,4.0
Baby Appeal - 2002 Digital Remaster,51G0OWdttZATq5WutoSFe1,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,31,0,True,0.738,0.931,4.0,-4.675,0.0,0.108,0.025,0.0,0.0658,0.692,90.61,220827.0,4.0
Buckle Down - 2002 Digital Remaster,6eHgupxpb00Lzygak9eTYQ,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,30,0,False,0.672,0.921,0.0,-5.648,1.0,0.0723,0.00434,7.4e-05,0.287,0.361,110.921,204267.0,4.0
Get Up And Jump - 2002 Digital Remaster,5OAp7U1GWlYeI0qYsdRmbb,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,34,0,True,0.652,0.968,2.0,-5.339,1.0,0.101,0.00773,0.000844,0.187,0.191,129.569,173400.0,4.0
Why Don't You Love Me - 2002 Digital Remaster,6IgFCekY6YjXfark8Wnxp0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,30,0,False,0.739,0.88,11.0,-5.569,0.0,0.161,0.0556,2.17e-05,0.137,0.711,90.629,205040.0,4.0
Green Heaven - 2002 Digital Remaster,07CEOVgOjzTe2EYnLDRY0d,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,30,0,True,0.626,0.776,9.0,-7.167,1.0,0.0799,0.0221,1.69e-06,0.124,0.401,82.13,239133.0,4.0
Mommy Where's Daddy - 2002 Digital Remaster,6DvCkB04CgSj9t9zd2mBY9,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,30,0,False,0.744,0.576,0.0,-8.276,1.0,0.0415,0.008,0.0173,0.0404,0.818,88.507,211333.0,4.0
Out In L.A. - 2002 Digital Remaster,0ytvC9tG03obop9RXqG3af,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,33,0,True,0.772,0.888,2.0,-6.273,1.0,0.118,0.0123,0.0,0.12,0.706,124.646,120667.0,4.0
Police Helicopter - 2002 Digital Remaster,1lidCYzQ3TIB0MZYUth1md,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,29,0,False,0.431,0.876,0.0,-7.673,1.0,0.117,5.52e-05,0.138,0.134,0.628,136.652,76493.0,4.0
You Always Sing The Same - 2002 Digital Remaster,3oBukpSWrmWJhenfq2TRON,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,1,0,False,0.584,0.849,9.0,-5.458,1.0,0.0976,0.115,0.0,0.0697,0.144,118.542,19133.0,4.0
