name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
CONDENADO AL EXITO II,4RbCdwPPk5XUpTrxAvntGM,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,63,0,True,0.585,0.759,8,-5.626,0,0.0819,0.761,0.0,0.629,0.591,94.904,257684,4
SI SABE FERXXO,7chTH3GBjjAyagf0SPCZDL,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,76,1,True,0.726,0.831,8,-2.035,0,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,152500,4
ESO ES TODO,3KnCfdpeaykCr1jC3rSkVc,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,49,0,True,0.707,0.801,10,-4.982,0,0.0433,0.0706,4.08e-05,0.0595,0.48,128.042,123750,4
SORNERITO,2gN4tTPjZceqOy2F0OJZQk,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,55,0,True,0.725,0.897,2,-3.851,0,0.0399,0.14,0.0,0.367,0.742,90.981,139978,4
MAS RARO,5au1uA1b2hb7NdDdTQvJYW,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,47,0,True,0.841,0.782,9,-3.326,0,0.0746,0.122,0.0121,0.129,0.565,94.006,144297,4
HAGALE OME,3LqGq0UHMEHcipo7yfER8r,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,49,0,True,0.713,0.703,6,-3.381,0,0.0804,0.197,1.39e-05,0.091,0.962,192.008,193906,4
NADA QUE DECIR,3s517OY43flGYhwMVRXU2F,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,46,0,True,0.8,0.6,8,-3.232,0,0.0424,0.135,0.000394,0.126,0.376,92.992,117419,4
FLETECITO,7LjeemSLTrIgPYO9igDTKD,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,49,0,True,0.882,0.624,4,-5.175,0,0.161,0.454,1.13e-05,0.0962,0.752,100.013,115200,4
OJOS AZULES,0jrzbfG1zOkPOHKD4SaPhd,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,58,0,True,0.904,0.814,2,-4.39,0,0.181,0.344,0.000117,0.0981,0.803,98.004,188571,4
CHIMBA DE TEMA,60awun0hpmDVQptovqEoXA,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,SI SABE,46,0,True,0.804,0.808,10,-2.997,0,0.076,0.278,0.000112,0.227,0.805,92.0,150000,4
