name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Afraid,4ltS9OKF5v3bvwCqrB5Fg1,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,35,0,False,0.76,0.856,1.0,-6.863,0.0,0.043,0.113,0.0,0.697,0.629,117.992,215347.0,4.0
Maneater,4wH4dJgrsxONID6KS2tDQM,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,82,1,False,0.796,0.778,6.0,-4.81,1.0,0.0397,0.0258,0.000386,0.121,0.789,132.724,258893.0,4.0
Promiscuous Interlude,3pmP3hLi7HYOZYCuxZm1aE,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,4,0,False,,,,,,,,,,,,,
Promiscuous,2gam98EZKrF9XuOkU13ApN,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,83,1,False,0.808,0.97,10.0,-6.098,0.0,0.0504,0.0573,6.17e-05,0.154,0.868,114.328,242293.0,4.0
Glow,6xAV4s1HRUvwir1e6zimtP,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,40,0,False,0.756,0.613,1.0,-4.977,1.0,0.0528,0.0892,0.00818,0.236,0.763,133.008,242493.0,4.0
Showtime,5R8j8CYqsZdmyWm10mccHG,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,36,0,False,0.469,0.529,10.0,-6.831,1.0,0.0494,0.144,8.95e-06,0.0953,0.55,187.249,244493.0,3.0
No Hay Igual Interlude,4MyiAZ0G0LhwfTfEJxrN8C,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,1,0,False,,,,,,,,,,,,,
No Hay Igual,6W5TI43zMynVPc1P1Fgzwr,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,38,0,False,0.895,0.778,11.0,-4.401,0.0,0.139,0.464,0.00638,0.056,0.777,114.233,215587.0,4.0
Te Busque,7fQcHMvGAfvNXFq80n7X23,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,40,0,False,0.654,0.709,8.0,-7.176,1.0,0.0514,0.0606,0.0,0.274,0.377,88.973,218227.0,4.0
Say It Right,2aI21FnmY7TJVKeMaoQZ0t,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,79,1,False,0.871,0.871,1.0,-6.328,1.0,0.139,0.0469,0.00114,0.0543,0.811,116.946,223080.0,4.0
Do It,2sdXCmHMlKDx7lQdeXTELW,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,46,0,False,0.855,0.75,1.0,-4.275,1.0,0.0581,0.061,0.0543,0.0451,0.916,125.005,221507.0,4.0
In God's Hands,0Nd3baD6mxMc4PNW59WXWP,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,33,0,False,0.589,0.263,9.0,-8.742,1.0,0.0304,0.845,0.0,0.0696,0.165,77.486,252333.0,3.0
Wait For You Interlude,1w2VowISQD9Cg78h2Vft3K,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,26,0,False,0.579,0.294,2.0,-23.468,1.0,0.471,0.671,0.0,0.543,0.879,153.331,41920.0,3.0
Wait For You,21PQHLrBFov0x9HaD3ZQ7B,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,35,0,False,0.648,0.923,4.0,-3.92,0.0,0.062,0.0991,0.0634,0.343,0.733,153.965,311120.0,4.0
