name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Nossos Dias,50uEFZ86rXLP30bCtrNUFQ,Alok,0NGAZxHanS9e0iNHpR8f2W,Nossos Dias,54,0,False,0.565,0.807,11,-6.493,1,0.0375,0.0232,2.09e-05,0.141,0.242,145.018,164000,4
Team Side Feat. RCB,4YHA0wXklru86h1N211Ywh,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,Team Side Feat. RCB,54,0,False,0.58,0.838,1,-4.185,0,0.0771,0.0764,0.0,0.643,0.421,96.987,181000,4
Hate CD,4MWduUIT0QTMHgvKpxPSI1,Steve Lacy,57vWImR43h4CaDao012Ofp,Hate CD,24,0,False,0.824,0.716,0,-7.089,1,0.0526,0.000916,0.0148,0.299,0.771,107.997,160183,4
Girl Goodbye - Live,1KyPErMM5C3ziZ4KKyxxme,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,10,0,False,0.345,0.924,7,-6.63,1,0.116,0.00285,0.235,0.538,0.451,123.254,223933,4
Goodbye Elenore - Live,0Ga0BaGdsQ1lPBcMACHokr,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,9,0,False,0.445,0.909,6,-5.246,0,0.0378,0.0287,0.0168,0.603,0.658,78.582,113027,4
Child's Anthem - Live,2dDMSS1QC4Z0jjwokzI1Hr,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,8,0,False,0.301,0.781,1,-5.178,0,0.0349,0.0191,0.989,0.21,0.522,76.237,56107,4
I'll Supply The Love - Live,4lbilWkxb3XtDBrkBRupQi,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,8,0,False,0.428,0.984,1,-6.249,0,0.0863,0.0112,0.864,0.756,0.521,125.359,80227,3
Gift With A Golden Gun - Live,53OwuNYvi6CBSYtqww5hHQ,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,8,0,False,0.426,0.91,5,-6.203,1,0.0594,0.0802,0.00611,0.967,0.668,161.596,288507,4
While My Guitar Gently Weeps - Live,2GkhqVMxwePrTh4yu0XWMJ,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,22,0,False,0.528,0.758,7,-6.97,1,0.0553,0.195,0.0135,0.978,0.307,108.925,345000,4
Bodhisattva - Live,6auUOYXyP76l4fiqC86c9E,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,8,0,False,0.47,0.975,0,-6.002,1,0.0813,0.0047,0.192,0.987,0.352,115.023,295267,4
Africa - Live,40mAP1tMzCF1Ot6gcShJ8v,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Live In Amsterdam,24,0,False,0.56,0.767,1,-8.07,0,0.0428,0.169,0.0129,0.982,0.532,92.791,428960,4
