name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),61,0,False,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840,4
One Of The Girls,54XqJ3fP3GxmUejMsKwCaK,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,One of the Girls,63,0,False,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685,4
One Of The Girls - Sped Up,4WfGDkm99oLJSAtELYZYEd,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,One of the Girls,62,0,False,0.572,0.672,2,-5.553,0,0.0296,0.0381,2.96e-06,0.514,0.285,99.21,215953,4
One Of The Girls - Slowed,3bWm8ejTzkMhPSdBnpxLvl,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,One of the Girls,52,0,False,0.523,0.506,7,-8.436,0,0.0371,0.234,0.0,0.105,0.246,139.975,305856,4
One Of The Girls - Instrumental,7zNS5065xzKyhOBMOj7pCr,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,One of the Girls,46,0,False,0.595,0.458,8,-8.627,1,0.0266,0.00786,0.875,0.14,0.192,87.521,244685,4
One Of The Girls - A Cappella,4oN4odRiXgTMnaAjz7kinV,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,One of the Girls,42,0,False,0.297,0.161,7,-20.654,0,0.0731,0.844,0.0,0.0544,0.306,80.356,249600,4
I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,71,0,False,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,92,1,False,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,86,1,False,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
The Man,3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,81,0,False,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4
The Archer,3pHkh7d0lzM2AldUtz2x37,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,75,0,False,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,4
I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,71,0,False,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,4
Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,78,0,False,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,4
Paper Rings,4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,77,0,False,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4
Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,74,0,False,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4
Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,72,0,False,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071,198533,4
London Boy,1LLXZFeAHK9R4xUramtUKw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,73,0,False,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,4
Soon You’ll Get Better (feat. The Chicks),4AYtqFyFbX0Xkc2wtcygTr,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,66,0,False,0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,201587,4
False God,5hQSXkFgbxjZo9uCwd11so,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,73,0,False,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,79,0,False,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4
Afterglow,1SymEzIT3H8UZfibCs3TYi,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,74,0,False,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011,223293,4
ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,75,0,False,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,4
It’s Nice To Have A Friend,1SmiQ65iSAbPto6gPFlBYm,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,65,0,False,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,150440,4
Daylight,1fzAuUVbzlhZ1lJAx9PtY6,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,78,0,False,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453,4
feelslikeimfallinginlove - Zerb x Coldplay,4cVUwET6QBkiWUdGVNSYPt,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,feelslikeimfallinginlove (Zerb x Coldplay),70,0,False,0.591,0.693,7,-8.653,1,0.037,0.0242,0.0089,0.131,0.0981,124.047,236613,4
Losers (Feat. Jelly Roll),0p13WrwJyOU3SwoAlSa6O4,Post Malone,246dkjvS1zLTtiykXe5h60,Losers,60,0,False,0.609,0.775,0,-4.031,0,0.0287,0.0255,0.0,0.145,0.422,93.967,209038,4
Pon de Replay,4TsmezEQVSZNNPv5RJ65Ov,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,79,0,False,0.779,0.64,7,-8.415,1,0.159,0.000155,0.000766,0.101,0.499,99.017,246960,4
Here I Go Again,07gLSfLyr23jSKaUpRgR1B,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,51,0,False,0.681,0.613,5,-5.939,0,0.0727,0.000328,0.002,0.12,0.64,83.467,251133,4
If It's Lovin' That You Want,4x2rgtSFOI4hRvEvDj02KP,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,67,0,False,0.745,0.694,8,-7.519,1,0.128,0.0962,0.0,0.0454,0.74,95.924,208107,4
"You Don't Love Me (No, No, No)",7wWU3G8lAYNkro19o1wsBc,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,42,0,False,0.691,0.667,2,-6.496,1,0.0774,0.0062,4.9e-06,0.0816,0.609,84.01,260067,4
"That La, La, La",2JMgGr5NopZc83ECon8MBj,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,36,0,False,0.853,0.672,7,-5.996,0,0.391,0.222,1.41e-06,0.297,0.952,77.501,225867,4
The Last Time,2IRrmMVmjvWQjJGY8LNuk5,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,34,0,False,0.698,0.495,9,-7.021,0,0.0502,0.0232,0.0,0.104,0.117,111.842,293227,4
Willing To Wait,5b41vHKBfpyEbmkJu6wtlH,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,32,0,False,0.549,0.444,10,-8.407,0,0.106,0.0107,7.13e-05,0.166,0.277,84.668,277973,4
Music Of The Sun,3vPkkIsaQ5NqOqvj7Ht8kR,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,35,0,False,0.534,0.644,0,-8.182,1,0.157,0.11,0.0,0.281,0.63,171.886,236027,4
Let Me,4tAqWkqjX9bRSUpNcYviVf,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,36,0,False,0.753,0.771,5,-5.833,0,0.145,0.0541,0.000304,0.133,0.743,108.022,236400,4
Rush,5NH2an2qR7M6ptHnxTfhP1,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,32,0,False,0.751,0.822,1,-4.532,1,0.164,0.001,0.0022,0.259,0.802,96.967,189573,4
There's A Thug In My Life,2O5rxPXXEFuvVfvsc85GX3,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,43,0,False,0.572,0.632,0,-7.744,1,0.109,0.00138,3.85e-06,0.102,0.572,161.769,198640,4
Now I Know,35Hibmn6fwoYVifZ9TKnWg,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,29,0,False,0.277,0.267,9,-11.355,1,0.0289,0.855,1.53e-06,0.204,0.224,82.896,300587,4
Pon De Replay - Remix,1B4iEymNy6FyU2I39ujzVw,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,54,0,False,0.778,0.737,7,-7.861,1,0.251,0.00031,0.0,0.276,0.582,99.079,217187,4
Cry Baby,7oDSG2Q9RBU0QjgtfYQOdD,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Cry Baby,77,1,False,0.664,0.762,1,-4.286,1,0.104,0.333,1.26e-06,0.177,0.576,118.979,157086,4
Curtains Up - Skit,0ttF21hZCPw2merE3GsHcP,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,24,0,True,0.378,0.122,2,-19.785,1,0.036,0.00697,0.958,0.125,0.0313,81.519,29827,4
White America,15qrWkkYCfmtu1uRpGf48L,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,63,0,True,0.558,0.615,1,-5.641,1,0.229,0.0103,0.0,0.105,0.16,76.673,324547,4
Business,0x60P5taxdI5pcGbqbap6S,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,72,0,True,0.901,0.813,7,-4.509,1,0.199,0.0325,1.09e-05,0.144,0.502,96.442,251720,4
Cleanin' Out My Closet,7BMO7O7ImjV8HNTH74Tshv,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,72,0,True,0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,297840,4
Square Dance,27mgDrExPa3obPAYXd3yQg,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,60,0,True,0.763,0.675,5,-1.797,0,0.223,0.0307,0.0,0.0876,0.724,82.0,323720,4
The Kiss - Skit,2J3CYFUn6eAuHz5S9IKape,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,50,0,True,0.469,0.451,10,-13.949,0,0.404,0.193,1.62e-06,0.393,0.565,89.185,75920,4
Soldier,5QD28FqaM3jTfsqWwvRZwv,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,65,0,True,0.851,0.92,8,-2.989,1,0.201,0.0319,0.000525,0.128,0.545,94.516,226213,4
Say Goodbye Hollywood,288e3FhmVuCqPmNEfAH0h6,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,57,0,True,0.717,0.664,9,-5.023,0,0.205,0.0529,0.0,0.096,0.717,94.331,272840,4
