name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Somebody (2024),0agQ9vIV7NP4dntGKLcCXO,Gotye,2AsusXITU8P25dlRNhcAbG,Somebody (2024),81,1,False,0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017,153519,4
Me Enamora,3MvpSDePWyiVxheU1eff6L,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,39,0,False,0.74,0.673,0,-2.872,1,0.102,0.232,4.45e-06,0.12,0.698,180.026,198592,4
Imagínate (feat. Nicky Jam),7cGxPzXU4FiuPmAHNtPBfs,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,34,0,True,0.741,0.784,0,-4.534,0,0.088,0.386,0.0,0.25,0.697,94.007,187840,4
Kush,4dyhfLyhSLLzqe7qXdvrZL,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,42,0,True,0.724,0.537,1,-6.94,1,0.292,0.375,6.8e-06,0.0693,0.45,73.976,214054,4
La Pared 360,5XnjXubiDwZRxv6JhatL5v,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,47,0,True,0.777,0.727,2,-4.683,0,0.151,0.246,0.0,0.147,0.832,168.289,152596,4
Enfermo de Riqueza,7yyoZJNwdS9CedwDkxYjjP,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,41,0,True,0.527,0.744,0,-5.664,0,0.0512,0.508,0.0,0.0603,0.901,119.897,234612,3
A 100,1ScgTFsIQHQ4IuId6GliBk,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,34,0,False,0.624,0.543,6,-4.868,1,0.425,0.479,2.16e-05,0.145,0.353,92.0,218913,4
TBT,3sa1dFHtZHUASnwAh2l0Ma,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,35,0,False,0.816,0.773,11,-4.252,0,0.215,0.312,0.000775,0.0739,0.8,160.032,211157,4
Discípulo,28zlDoIxHoIQz4DFKWW1L6,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,26,0,True,0.795,0.752,9,-3.344,1,0.202,0.268,0.000155,0.0854,0.807,165.964,189126,4
La Neta,09g8ggEHKVjxxMtrssI4Yk,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,KRACK,43,0,False,0.812,0.774,11,-2.081,0,0.275,0.134,0.00039,0.108,0.742,175.84,174545,4
