name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Two Of Us - Remastered 2009,0CaBBQsaAiRHhiLmzi7ZRp,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),55,0,False,0.726,0.702,7,-10.757,1,0.032,0.0974,3.46e-05,0.239,0.931,109.114,216813,4
Dig A Pony - Remastered 2009,4OUmlC67FoPLvQNuE5C7kF,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),49,0,False,0.538,0.478,11,-8.957,0,0.0388,0.472,0.0,0.17,0.527,59.004,235000,4
Across The Universe - Remastered 2009,4dkoqJrP0L8FXftrMZongF,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),64,0,False,0.257,0.412,1,-11.788,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,228133,4
I Me Mine - Remastered 2009,2BMqay80iBzZTa608Y1eG1,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),52,0,False,0.291,0.638,9,-7.854,0,0.0554,0.179,0.0,0.101,0.525,185.235,145587,3
Dig It - Remastered 2009,0eRyOunOVBChlXxIvqwOxH,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),43,0,False,0.54,0.489,5,-12.276,1,0.117,0.659,0.0019,0.457,0.67,157.03,50467,3
Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),78,1,False,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,243027,4
Maggie Mae - Remastered 2009,2VsX1BoWSGiuVXGiFSUr6h,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),47,0,False,0.516,0.515,2,-12.035,0,0.215,0.379,0.0,0.103,0.524,169.039,40040,4
I've Got A Feeling - Remastered 2009,3gwRWIbr5ycEVLIAXrWaw7,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),53,0,False,0.44,0.609,2,-8.824,1,0.0358,0.0715,0.0,0.582,0.364,165.156,217560,4
One After 909 - Remastered 2009,50qHmeex1nPTyQTwBXjSE4,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),46,0,False,0.554,0.828,4,-6.435,1,0.0739,0.0307,0.0,0.907,0.888,90.95,173960,4
The Long And Winding Road - Remastered 2009,3mlMpmY8oZIBFc39D9zLbh,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),63,0,False,0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,218187,4
For You Blue - Remastered 2009,5dpRJkvY8oWMQmQbEQTXhO,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),47,0,False,0.88,0.556,2,-10.773,1,0.0855,0.24,0.0483,0.24,0.955,128.542,152213,4
Get Back - Remastered 2009,4MLBqAEzNN89o2M9h92Z26,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),68,0,False,0.761,0.592,2,-9.836,1,0.0586,0.492,0.00626,0.61,0.332,123.095,189387,4
The Power of Equality,4Zp35RIATJCwHAKEhtiSb0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik,29,0,True,0.603,0.877,1,-12.828,1,0.0474,0.00277,0.0604,0.171,0.881,102.673,243533,4
If You Have to Ask,5guVvrqQlZVTnHky6gxVOP,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik,28,0,True,0.709,0.738,7,-12.019,1,0.048,0.00236,0.795,0.073,0.671,96.24,216693,4
Breaking the Girl,6Va1qwqV4lEvbOyPqodbth,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik,36,0,False,0.348,0.686,8,-12.748,0,0.0319,0.0233,0.00256,0.145,0.635,178.466,295373,3
Funky Monks,47INZai2CsZtzBQAIqLmof,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik,29,0,False,0.567,0.659,0,-10.635,1,0.0499,0.00168,0.00158,0.0513,0.61,90.519,323333,4
