name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Getting Older,4HOryCnbme0zBnF8LWij3f,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,70,0,False,0.599,0.128,10.0,-17.261,1.0,0.109,0.974,0.121,0.115,0.367,159.679,244221.0,4.0
I Didn't Change My Number,7bcy34fBT2ap1L4bfPsl9q,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,72,0,True,0.849,0.48,9.0,-5.835,1.0,0.226,0.612,0.269,0.295,0.677,142.021,158463.0,4.0
Billie Bossa Nova,2KnuaZYoGzDoHiBTNYOTXG,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,77,0,False,0.895,0.389,7.0,-11.036,0.0,0.11,0.222,0.0346,0.105,0.549,110.023,196731.0,4.0
my future,3YUMWmx8EJq0DurfuIwoGh,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,68,0,False,0.456,0.285,8.0,-10.755,1.0,0.0979,0.814,0.143,0.307,0.0809,104.89,210005.0,4.0
Oxytocin,4t2OeILB07eMGTXSUbMPEu,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,68,0,False,0.757,0.598,11.0,-7.777,1.0,0.058,0.0904,0.551,0.15,0.18,124.951,210233.0,4.0
GOLDWING,0FfqyjhB6Kspvit1oOo7ax,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,66,0,False,0.654,0.303,5.0,-13.943,0.0,0.126,0.755,0.159,0.0957,0.168,160.095,151537.0,4.0
Lost Cause,4191RXFPa7Ge9XkA4cWlna,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,69,0,True,0.526,0.334,10.0,-8.491,0.0,0.251,0.702,0.00782,0.0586,0.522,74.966,212496.0,4.0
Halley's Comet,5XsAal7ZcWg1I5T4NcRjkv,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,75,0,False,0.403,0.159,1.0,-16.728,0.0,0.104,0.961,0.0121,0.34,0.0381,72.38,234761.0,4.0
Not My Responsibility,4T2zre0jqstNJ5Gt0WG9lz,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,67,0,False,0.468,0.13,1.0,-18.031,1.0,0.0571,0.454,0.927,0.0819,0.0362,115.039,227680.0,4.0
OverHeated,5uSG6fUPRaehaV820zcpsK,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,64,0,True,0.777,0.522,8.0,-12.496,0.0,0.0535,0.527,0.838,0.0968,0.182,115.008,214059.0,4.0
Everybody Dies,5jhBwnqzNNrENXnYrAdoCe,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,65,0,False,0.275,0.155,7.0,-17.285,0.0,0.0674,0.928,0.176,0.0888,0.0588,65.136,206623.0,3.0
Your Power,042Sl6Mn83JHyLEqdK7uI0,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,72,0,False,0.632,0.284,9.0,-14.025,0.0,0.0801,0.932,0.000476,0.233,0.208,129.642,245897.0,4.0
NDA,38GBNKZUhfBkk3oNlWzRYd,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,74,0,True,0.765,0.373,8.0,-9.921,1.0,0.0713,0.341,0.525,0.112,0.554,85.016,195777.0,4.0
Therefore I Am,20R4HfKloPKgXDqU7UKk3x,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,72,0,False,0.879,0.365,2.0,-7.781,1.0,0.0924,0.227,0.135,0.0583,0.663,94.016,173539.0,4.0
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,82,0,True,0.332,0.225,0.0,-8.697,1.0,0.0348,0.767,0.00349,0.128,0.297,81.055,298899.0,3.0
Male Fantasy,4ak9GGe6afmi2HbxEjvhIC,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,68,0,False,0.687,0.288,2.0,-10.415,1.0,0.045,0.863,0.0,0.0986,0.308,110.927,194887.0,4.0
Intro - Live,7HX1VOiPj1oMlgZ3OQ92B6,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,43,0,False,0.164,0.426,7.0,-8.864,1.0,0.0447,7.38e-06,0.793,0.527,0.0568,111.454,95814.0,3.0
Alone Again - Live,2evYKtXNAdn60ANNEdjH7V,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,True,0.312,0.532,4.0,-6.144,0.0,0.0344,0.319,0.0,0.806,0.185,81.093,167253.0,4.0
Gasoline - Live,2h3ZotklPN6aD7OuHz7bFZ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,False,0.654,0.831,10.0,-7.726,0.0,0.0398,0.00232,0.0151,0.5,0.176,123.985,195635.0,4.0
Sacrifice - Live,7skxtd9x0d05fjz4D7w3t2,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,47,0,True,0.685,0.944,6.0,-8.265,0.0,0.0875,0.0156,0.0456,0.434,0.235,123.966,263241.0,4.0
How Do I Make You Love Me? - Live,72SxWvaYsDgix2N3sjCjT1,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,False,0.676,0.843,5.0,-8.204,1.0,0.144,0.0793,0.00012,0.355,0.438,123.988,209041.0,4.0
Can't Feel My Face - Live,47vfGRaXEGzcM2vI7JC2OO,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,45,0,False,0.622,0.847,9.0,-7.003,0.0,0.0778,0.0112,0.00104,0.0916,0.649,121.124,183889.0,4.0
Take My Breath - Live,02YlAvsmptN8LisZqrWBIb,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,False,0.588,0.792,0.0,-7.066,0.0,0.0419,0.000573,0.00572,0.907,0.301,124.032,235966.0,4.0
Hurricane - Live,45ypYpAdgoneWcBT0Wba3p,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,False,0.217,0.389,2.0,-8.932,0.0,0.039,0.0485,0.0233,0.507,0.129,78.958,127528.0,4.0
The Hills - Live,6N8W7Dbcsg9tRDxn0wjFkR,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,47,0,True,0.492,0.8,0.0,-5.998,0.0,0.0404,0.000826,0.00352,0.972,0.0748,113.031,185362.0,4.0
Often - Live,3kdEGx81MR9ftxRbF3Zf84,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,47,0,True,0.451,0.74,8.0,-8.596,0.0,0.0531,0.000425,0.000538,0.595,0.299,142.067,148878.0,4.0
Crew Love - Live,03H6iCycyxfB2mZzIOEeKJ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,True,0.292,0.586,11.0,-8.579,0.0,0.0684,0.0408,0.0,0.533,0.13,159.924,113461.0,3.0
Starboy - Live,4ZYGm4xWPhsZVijqtpWn4C,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,47,0,True,0.454,0.859,7.0,-8.249,1.0,0.0787,0.0152,0.00377,0.518,0.0726,129.483,245818.0,5.0
Heartless - Live,0WrIAsGJOei2FGeakvpTDU,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,45,0,True,0.578,0.725,10.0,-7.198,0.0,0.0885,0.0169,0.0,0.404,0.173,169.825,124255.0,4.0
Low Life - Live,431r2Qg4I2qFIKdSFCJN4s,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,45,0,True,0.463,0.683,0.0,-8.344,0.0,0.0404,0.306,3.55e-05,0.712,0.442,80.01,107257.0,4.0
Or Nah - Live,6tB01QHgH9YuVA8TomAzni,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,45,0,True,0.538,0.639,8.0,-8.445,0.0,0.101,0.373,0.0,0.248,0.156,135.966,101451.0,4.0
Kiss Land - Live,2YI8oiiImLkZvVgP33xrjD,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,44,0,True,0.277,0.636,7.0,-7.499,0.0,0.0646,0.0225,0.0,0.838,0.195,76.263,110315.0,4.0
Party Monster - Live,6knNhL3mIaackJvtjmUrfN,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,46,0,True,0.457,0.629,1.0,-7.035,1.0,0.0379,0.0555,1.14e-05,0.71,0.169,78.899,189884.0,4.0
Faith - Live,5RlqhZfTao31aQUO2QjpkG,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,45,0,True,0.365,0.569,0.0,-8.715,0.0,0.0554,0.034,0.0,0.534,0.124,175.797,185017.0,4.0
After Hours - Live,7HK0ZDEsW0lGKKIVYvni2z,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,49,0,False,0.655,0.501,5.0,-7.808,0.0,0.0295,0.0102,2.51e-05,0.155,0.0789,109.039,267913.0,4.0
Out of Time - Live,6XZ8C5etRn0kiS1wwuW0SO,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,45,0,False,0.643,0.645,11.0,-9.105,0.0,0.0637,0.132,0.0,0.562,0.675,93.074,200934.0,4.0
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,89,1,False,0.504,0.386,11.0,-10.976,1.0,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,228965.0,4.0
The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,74,0,True,0.604,0.428,0.0,-8.441,1.0,0.0255,0.0483,0.0,0.126,0.292,110.259,293048.0,4.0
My Boy Only Breaks His Favorite Toys,2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,74,0,False,0.596,0.563,0.0,-7.362,1.0,0.0269,0.137,0.0,0.302,0.481,97.073,203801.0,4.0
