name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
SKINNY,1CsMKhwEmNnmvHUuO5nryA,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,83,0,False,0.251,0.252,9.0,-14.478,1.0,0.0375,0.693,0.00706,0.0968,0.0395,69.988,219733.0,4.0
LUNCH,629DixmZGHc7ILtEntuiWE,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,92,1,False,0.893,0.4,11.0,-7.981,0.0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,179587.0,4.0
CHIHIRO,7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,91,1,False,0.7,0.425,7.0,-12.531,1.0,0.0529,0.144,0.879,0.083,0.521,110.015,303440.0,4.0
BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,100,1,False,0.747,0.507,2.0,-10.171,1.0,0.0358,0.2,0.0608,0.117,0.438,104.978,210373.0,4.0
WILDFLOWER,3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,90,1,False,0.467,0.247,6.0,-12.002,0.0,0.0431,0.612,0.000271,0.17,0.126,148.101,261467.0,4.0
THE GREATEST,6TGd66r0nlPaYm3KIoI7ET,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,85,1,False,0.407,0.192,7.0,-10.99,1.0,0.0368,0.637,3.33e-06,0.21,0.159,128.173,293840.0,4.0
L’AMOUR DE MA VIE,6fPan2saHdFaIHuTSatORv,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,86,1,False,0.467,0.392,9.0,-9.355,1.0,0.0908,0.2,0.0174,0.106,0.313,145.104,333987.0,4.0
THE DINER,1LLUoftvmTjVNBHZoQyveF,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,82,0,False,0.857,0.386,1.0,-9.761,1.0,0.168,0.243,0.0931,0.111,0.661,125.017,186347.0,4.0
BITTERSUITE,7DpUoxGSdlDHfqCYj0otzU,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,81,0,False,0.521,0.254,9.0,-14.409,0.0,0.0399,0.815,0.884,0.114,0.153,125.021,298440.0,4.0
BLUE,2prqm9sPLj10B4Wg0wE5x9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,86,1,False,0.349,0.337,7.0,-10.671,1.0,0.0407,0.29,0.172,0.139,0.0365,142.01,343120.0,4.0
Starboy (feat. Daft Punk),76yLBykniz0SSNv0jj17M2,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),55,0,True,0.677,0.557,7.0,-8.072,1.0,0.287,0.146,8.48e-06,0.129,0.501,186.014,230461.0,4.0
Party Monster,6fSvz9yrQY407xmr7cdjuA,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),53,0,True,0.577,0.588,1.0,-9.416,1.0,0.0664,0.201,8.37e-06,0.245,0.2,77.498,249208.0,4.0
False Alarm,4k47x4UkxG215nFLMFna8A,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),50,0,False,0.519,0.656,8.0,-7.457,0.0,0.069,0.0259,0.000116,0.187,0.202,174.027,220309.0,4.0
Reminder,4zHa39io9pjsiAE6LwM2NH,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),52,0,True,0.706,0.468,8.0,-8.003,1.0,0.202,0.171,0.0,0.164,0.394,160.075,218879.0,4.0
Rockin’,3mynPhglTz2Ggh8SxA34kR,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),49,0,True,0.746,0.865,9.0,-6.628,0.0,0.2,0.0127,0.0,0.0754,0.775,112.898,232882.0,4.0
