name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
8 AM,7CSmXJNeArnwDfUmtP4Gve,Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,8 AM,58,0,True,0.678,0.44,11,-7.57,0,0.281,0.301,1.78e-06,0.113,0.314,94.033,147603,4
Heartbreak Feels So Good - Dillon Francis Remix,6Wsluv589twj4357ccqrzU,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Heartbreak Feels So Good (Dillon Francis Remix),42,0,False,0.573,0.942,0,-4.243,0,0.0716,0.00664,0.673,0.136,0.334,160.06,135012,4
Heartbreak Feels So Good,6vZWVmhytZHUCLubTFl70z,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Heartbreak Feels So Good (Dillon Francis Remix),42,0,False,0.514,0.779,8,-5.136,1,0.0417,0.00314,1.3e-05,0.0637,0.313,91.089,217538,4
Kickin' Incredibly Dope Shit (Intro),4rnQeJA7kseeSsEy2rINAh,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),44,0,True,0.478,0.776,0,-6.759,1,0.439,0.0445,0.0,0.256,0.758,149.926,203359,4
Outside,46xqXoohiUXCZo4K34LG4G,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),50,0,True,0.475,0.854,7,-3.779,1,0.132,0.00658,0.0,0.367,0.27,80.155,217285,4
Get Em Up,7gugxacl2glKUtqX5CnuFz,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),45,0,True,0.639,0.925,9,-2.948,0,0.148,0.366,0.0,0.157,0.737,85.118,186238,4
Nikes on My Feet,1lGYQnMcERmhNPZDHIJuoy,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),49,0,True,0.801,0.57,9,-5.103,0,0.265,0.559,0.0,0.111,0.565,92.058,164632,4
Senior Skip Day,0zbJBmwyV8CxJKnrHaI33Y,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),47,0,True,0.522,0.725,5,-5.184,0,0.302,0.554,0.0,0.799,0.81,108.364,175783,4
The Spins,7FAFkQQZFeNwOFzTrSDFIh,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),82,1,True,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,195873,4
Don't Mind If I Do,1U6Ejld67ky0fyVFv7bXH5,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),52,0,True,0.737,0.921,6,-4.91,1,0.213,0.15,0.0,0.301,0.713,105.055,138287,4
Paper Route (feat. Chevy Woods),4CV58jALE66Q1c2Kawmzgf,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),45,0,True,0.578,0.852,1,-5.059,1,0.29,0.0859,0.0,0.34,0.573,80.917,171984,4
Good Evening,0vkbXiCdOXRc74UIVCuvXv,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),47,0,True,0.531,0.78,6,-6.47,1,0.426,0.0496,0.0,0.363,0.686,115.274,243067,5
Ride Around,5kXdRIWhGt7jqED7xfLTte,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),44,0,True,0.759,0.898,4,-4.096,1,0.282,0.033,0.0,0.31,0.556,167.885,144400,4
Knock Knock,2jwJsu8n2j3oGztD6b8wTK,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),49,0,True,0.682,0.934,4,-2.527,0,0.152,0.107,0.0,0.749,0.483,109.027,197929,4
"Mad Flava, Heavy Flow (Interlude) [feat. DJ Bonics]",3EWurUu16gua9aYNy6uYUq,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),8,0,False,0.598,0.964,8,-4.659,0,0.425,0.392,0.0011,0.632,0.943,94.089,26883,3
Kool Aid & Frozen Pizza,6CyRC2YCCoMsRYlQWgIHja,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),47,0,True,0.66,0.845,11,-4.57,1,0.301,0.154,0.0,0.294,0.706,89.769,157540,4
All I Want Is You,6W5EUa3fRk3DErvA2eHx0o,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),43,0,True,0.589,0.768,1,-4.763,1,0.205,0.113,0.000102,0.129,0.505,82.899,223248,4
Poppy,5Gj7W57qceatN2d9LwckVZ,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),42,0,False,0.806,0.699,7,-5.791,1,0.291,0.508,0.0,0.106,0.459,94.616,172732,4
Face In The Crowd,71oqFtJ3oLSCdlktITJHGK,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),45,0,True,0.406,0.918,2,-5.941,0,0.484,0.23,0.0,0.254,0.179,98.141,208793,4
Ayye,78844Rxxkl8STQUVbp4vXi,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),61,0,True,0.764,0.719,10,-6.939,0,0.0769,0.0613,0.0,0.0982,0.452,106.96,165911,4
Back In The Day,3l5r1zd9EWibbvOhBM8sQR,Mac Miller,4LLpKhyESsyAXpc4laK94U,K.I.D.S. (Deluxe),48,0,True,0.694,0.64,6,-7.963,1,0.275,0.118,1.03e-05,0.107,0.41,82.279,246865,4
2 LIVE,1pbSwjVmaoVgHIU2bQeuxI,Hit-Boy,6q3p11nP1p80Ey6LrOOSed,2 LIVE,32,0,True,0.792,0.824,6,-2.799,0,0.259,0.0223,0.0,0.103,0.738,168.087,149613,4
Curtains Up - Skit,0ttF21hZCPw2merE3GsHcP,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,23,0,True,0.378,0.122,2,-19.785,1,0.036,0.00697,0.958,0.125,0.0313,81.519,29827,4
