name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",87,1,False,0.391,0.084,0,-17.843,1,0.0317,0.953,0.0,0.0983,0.111,79.449,222370,4
Alone Again,6b5P51m8xx2XA6U7sdNZ5E,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,64,0,True,0.405,0.653,4,-7.953,0,0.0423,0.0329,0.109,0.172,0.0622,136.066,250053,4
Too Late,2K9Ovn1o2bTGqbsABGC6m3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,63,0,True,0.637,0.863,4,-5.221,0,0.131,0.0524,5.46e-05,0.685,0.226,120.077,239973,4
Hardest To Love,6kWxIqQDsKFYCJGbU4AjCX,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,63,0,True,0.392,0.608,7,-7.847,0,0.0713,0.0909,8.83e-05,0.125,0.111,81.898,211400,4
Scared To Live,4BGZF4oLbTL0pWm7C18pbv,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,62,0,True,0.488,0.498,0,-8.24,1,0.0479,0.131,0.0,0.0929,0.198,87.419,191307,4
Snowchild,3WlbeuhfRSqU7ylK2Ui5U7,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,62,0,True,0.551,0.612,0,-7.475,1,0.139,0.161,6.13e-05,0.121,0.244,148.073,247187,4
Escape From LA,1sOW4PuG5X3Ie3EXUhAopJ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,64,0,True,0.372,0.525,5,-8.996,0,0.0592,0.0457,0.00313,0.199,0.171,144.95,355960,4
Heartless,6bnF93Rx87YqUBLSgjiMU8,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,77,0,True,0.537,0.746,10,-5.507,0,0.15,0.0236,1e-06,0.156,0.252,170.083,198267,4
Faith,3orEOtd8CPL8GFlpRpKuoE,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,65,0,True,0.37,0.603,0,-7.268,0,0.0735,0.612,0.0439,0.147,0.125,175.962,283227,4
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,88,1,False,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,200040,4
In Your Eyes,7szuecWAPwGoV1e5vGu8tl,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,75,0,True,0.667,0.719,7,-5.371,0,0.0346,0.0028,7.92e-05,0.0736,0.718,100.019,237520,4
Save Your Tears,5QO79kh1waicV47BqGRL3g,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,85,1,True,0.679,0.825,0,-5.487,1,0.0309,0.0212,1.21e-05,0.543,0.644,118.049,215627,4
Repeat After Me (Interlude),40U8d12pC5UHqmHwXjHjjl,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,60,0,True,0.555,0.62,0,-7.918,1,0.0314,0.0315,0.000225,0.0917,0.139,95.035,195813,4
After Hours,2p8IUWQDrpjuFltbdgLOag,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,80,0,False,0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,361027,4
Until I Bleed Out,2BcnxwxBuar5wjCaLqm5N3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,60,0,True,0.293,0.394,0,-9.887,0,0.036,0.429,2.93e-05,0.093,0.149,117.185,190173,3
Lavender Haze,24emu3sabKISjRkrys28jq,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),63,0,True,0.735,0.449,7,-10.56,0,0.0883,0.23,0.00126,0.132,0.0955,97.05,202396,4
Maroon,6qxvy9Pe4RJIq5JBVbbwbS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),63,0,True,0.655,0.384,7,-8.29,1,0.0349,0.0634,1.45e-06,0.0973,0.0384,108.058,218271,4
Anti-Hero,5qIHFdkW6phMsTZlN2g8Lc,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),63,0,False,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,200690,4
Snow On The Beach (feat. Lana Del Rey),7GA86Uo2jYbj8vIXe2nyWd,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),60,0,True,0.663,0.321,9,-13.527,1,0.0409,0.701,0.000598,0.107,0.153,110.021,256124,4
"You're On Your Own, Kid",6PQOU00xWNrGwCZzboriXy,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),64,0,False,0.696,0.39,2,-10.331,1,0.0616,0.447,1.55e-05,0.125,0.395,120.032,194207,4
Midnight Rain,4eKMqf9ZMSclDX7V9Ptg7x,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),63,0,False,0.604,0.375,0,-11.637,1,0.0633,0.71,5.87e-05,0.116,0.203,137.651,174783,4
Question...?,7oomkQSYf1ia2VnVEWfFIU,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),60,0,True,0.654,0.51,7,-8.767,1,0.242,0.206,0.0,0.249,0.105,108.874,210557,4
Vigilante Shit,0GKDhq6ZbmSbRHd3eyGlB7,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),62,0,True,0.872,0.267,4,-10.764,0,0.387,0.166,2.18e-05,0.123,0.168,79.964,164801,4
Bejeweled,0VpF6RLdCfPIeYRwMu4tZK,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),62,0,False,0.687,0.551,7,-9.202,1,0.0787,0.0593,0.000143,0.09,0.443,163.994,194166,4
Labyrinth,4bBDkw2KBMX0tcgAaXC83Q,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),61,0,False,0.48,0.295,0,-15.512,1,0.0384,0.797,0.333,0.12,0.132,110.018,247962,4
Karma,45R112Jz5hQeKgITXgSXzs,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),62,0,True,0.64,0.619,8,-7.108,1,0.065,0.062,0.0,0.475,0.121,90.008,204852,4
Sweet Nothing,2L09RYwH5Pjzca6PmbUAw3,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),60,0,False,0.336,0.161,0,-14.973,1,0.0456,0.968,0.00011,0.115,0.407,176.48,188497,4
Mastermind,1QQii3pa5m8MEda0nbkjfw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),61,0,False,0.66,0.343,4,-14.132,1,0.14,0.565,0.00134,0.0922,0.137,125.96,191039,4
The Great War,2VuqMjgoKaOHNM8HpxtXKx,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),61,0,False,0.57,0.747,5,-8.93,1,0.0342,0.199,2.32e-05,0.0854,0.574,96.016,240356,4
Bigger Than The Whole Sky,71CBDRKmF2VeRKYMG1DFBh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),60,0,False,0.42,0.22,6,-12.584,1,0.0472,0.841,0.00131,0.114,0.0705,165.564,218503,4
Paris,5tWxKWq1DSP1s9WQ5PWuqu,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),60,0,False,0.703,0.518,7,-10.501,1,0.085,0.103,2.89e-05,0.148,0.347,110.94,196259,4
High Infidelity,1SztNGCwEHJEVFx90E5g7D,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),59,0,False,0.571,0.547,10,-10.141,1,0.101,0.704,0.0,0.0877,0.768,175.933,231475,4
Glitch,7C0w28EsX0Um2FrZs9gso2,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),58,0,False,0.677,0.47,11,-9.65,0,0.259,0.314,0.0,0.11,0.347,140.881,148781,4
"Would've, Could've, Should've",4txojlesMFQZGWxwz2EeqB,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),61,0,False,0.485,0.846,0,-6.557,1,0.117,0.393,0.00115,0.124,0.548,157.918,260362,4
Dear Reader,10GRRCR5fctuOF4GFmATJI,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),59,0,False,0.674,0.39,0,-11.944,1,0.0483,0.464,0.00122,0.116,0.151,107.891,225194,4
Always in My Head,0FMjqbY3aWo1QDbo3GwXib,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Ghost Stories,63,0,False,0.495,0.502,5,-9.307,1,0.0259,0.0127,0.689,0.068,0.0394,97.546,216627,3
