name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
EXCESO,6icPJycbKyxzR3RAbXxjj1,Sebastian Esquivel,1tuNNda2SSH3o4lUms5K6C,EXCESO,67,0,True,0.745,0.914,11,-4.519,0,0.0919,0.0131,0.0,0.177,0.91,131.97,142802,4
4:22,0tzAYfXvSyKfXJm9YqS3SM,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,4:22,35,0,False,0.771,0.727,1,-4.285,0,0.0416,0.0205,4.54e-06,0.291,0.649,104.035,193360,4
IT AIN'T SAFE (feat. Nardo Wick & Kodak Black),62toSfZn4EMY6MCyebnfda,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,IT AIN'T SAFE (feat. Nardo Wick & Kodak Black),31,0,True,0.742,0.792,7,-4.291,1,0.322,0.00096,0.0,0.365,0.809,147.958,170198,4
Players (with Busta Rhymes) - DJ Saige Remix,0QhQvr5kALXiI1FFcti1wb,Coi Leray,6AMd49uBDJfhf30Ak2QR5s,Players (DJ Saige Remix),31,0,True,0.87,0.784,6,-2.732,0,0.254,0.0129,4.08e-06,0.062,0.761,105.051,192133,4
No siempre quedará París - Remix,4TPugCH4s6bRqhWhGkb2qw,Leo Rizzi,2281RSmb2cN6knnt0Iarb2,No siempre quedará París (Remix),44,0,False,0.589,0.602,7,-6.497,1,0.0349,0.0113,0.00144,0.128,0.137,139.961,186045,4
Chasing Birds - Preservation Hall Jazz Band Re-Version,4ca03o6ZZsFA0LB620kpKI,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Chasing Birds (Preservation Hall Jazz Band Re-Version),22,0,False,0.651,0.789,8,-8.508,1,0.0674,0.013,0.142,0.366,0.787,104.064,218703,4
Together (Endor Remix),6EVYbbVjW4j115S4zy9o06,R Plus,0lnAZ68xKGysVy084bTQmh,Together (Endor Remixes),6,0,False,0.803,0.929,8,-8.943,0,0.0987,0.00065,0.511,0.0348,0.711,130.011,354698,4
Together (Endor Remix) (Edit),4JQ7JlP7rLi0G3IrPhGsJV,R Plus,0lnAZ68xKGysVy084bTQmh,Together (Endor Remixes),2,0,False,0.8,0.855,1,-9.053,1,0.0953,0.00416,0.131,0.0423,0.56,130.007,195788,4
Together (Endor’s Bronx Buster Remix),1xlWxUfaVu7x1A6UUXbzd2,R Plus,0lnAZ68xKGysVy084bTQmh,Together (Endor Remixes),4,0,False,0.802,0.92,1,-8.362,1,0.0608,0.00231,0.415,0.0913,0.706,128.99,342354,4
Together (Endor’s Bronx Buster Remix) (Edit),6r1IOcomU8FCgLyfhOkJaB,R Plus,0lnAZ68xKGysVy084bTQmh,Together (Endor Remixes),6,0,False,0.831,0.734,1,-8.038,1,0.0675,0.00759,0.059,0.0482,0.458,129.041,197267,4
Gifted (feat. Roddy Ricch),0mb3uDw5vfFUcZfJYFOMRu,Cordae,0huGjMyP507tBCARyzSkrv,Gifted (feat. Roddy Ricch),46,0,True,0.653,0.603,5,-5.697,0,0.171,0.175,0.0,0.18,0.551,151.016,168477,4
Round Here,16MlGLhuhuBSvgFnckL9Sq,George Michael,19ra5tSw0tWufvUp8GotLo,Round Here,12,0,False,0.849,0.534,9,-7.521,0,0.0423,0.217,8.09e-05,0.12,0.673,102.945,356000,4
Patience,335VrKRhrCa92nTrAPeriP,George Michael,19ra5tSw0tWufvUp8GotLo,Round Here,7,0,False,0.547,0.135,1,-14.593,1,0.065,0.916,0.0,0.0699,0.361,50.093,175227,3
Straight No Chaser,0doIkWH0GCZA7r7SjvntIV,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,Back To Black: Songs From The Original Motion Picture,23,0,False,0.417,0.718,10,-6.475,1,0.0732,0.792,7.07e-05,0.358,0.785,168.128,174693,3
What Is It About Men,3nbSHowf0GmhQj6jyUwAbs,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,30,0,True,0.738,0.501,11,-7.617,0,0.0691,0.41,1.96e-05,0.165,0.501,76.427,209560,4
Stronger Than Me,0QQIzqlJLPpJUTPgTlW8tx,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,31,0,False,0.888,0.453,9,-7.339,0,0.0404,0.0447,0.000219,0.0589,0.858,91.422,214493,4
I Heard Love Is Blind,6cAKlMqyGdqsHjj2IkVqon,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,24,0,False,0.561,0.341,2,-9.146,1,0.058,0.767,0.0,0.108,0.265,75.288,130080,4
Ghost Town,1LQZPdOT9un6z7MSwzUh8V,The Specials,6xnvNmSzmeOE1bLKnYXKW3,Back To Black: Songs From The Original Motion Picture,24,0,False,0.648,0.829,10,-7.359,0,0.0512,0.044,0.392,0.113,0.899,73.694,219307,4
Know You Now,5V5lHnFpXYaxpT5SZG0Xi9,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,45,0,False,0.845,0.668,5,-7.016,0,0.067,0.0671,0.00186,0.0849,0.786,140.676,183253,4
I'm On The Outside (Looking In),6St4NHviyn7Wvs2RGlOaGv,Little Anthony & The Imperials,3PF1KBeHYb14yKgsiE693V,Back To Black: Songs From The Original Motion Picture,22,0,False,0.387,0.274,7,-10.541,1,0.0326,0.867,1.67e-06,0.347,0.293,185.672,192067,3
Leader Of The Pack,71NWLP2Wk5QP4kVQ7v5IsH,The Shangri-Las,1WvziZcLLYLoMMdmQx7qcN,Back To Black: Songs From The Original Motion Picture,28,0,False,0.424,0.64,1,-5.609,1,0.0914,0.652,0.0,0.648,0.283,122.446,171400,4
All Of Me,0Pi2B7virE5rS29lDXI8nf,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Back To Black: Songs From The Original Motion Picture,22,0,False,0.505,0.136,2,-10.673,0,0.0355,0.969,3.82e-05,0.141,0.39,106.087,182067,5
Dressed In Black,0fkVZMdXiQ9XxBBHmEQUWk,The Shangri-Las,1WvziZcLLYLoMMdmQx7qcN,Back To Black: Songs From The Original Motion Picture,26,0,False,0.333,0.325,7,-9.95,0,0.0588,0.686,0.00122,0.162,0.162,179.228,173840,4
I Love You More Than You'll Ever Know,5pmBVdgR3g37oLQBZR2EnZ,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,Back To Black: Songs From The Original Motion Picture,22,0,False,0.308,0.282,0,-12.271,0,0.0351,0.74,0.00017,0.113,0.202,86.36,322867,3
Don't Look Back Into The Sun,5H9sITpMqyHHdogBUa4YoF,The Libertines,4fSPtBgFPZzygkY6MehwQ7,Back To Black: Songs From The Original Motion Picture,21,0,False,0.212,0.732,0,-7.749,0,0.0837,0.00487,0.000104,0.234,0.593,177.166,180267,4
Fuck Me Pumps,1NYS5PAh0OBZGgnexJvInq,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,29,0,True,0.897,0.449,7,-7.827,1,0.0883,0.104,0.0,0.108,0.708,102.907,200600,4
Body And Soul,6P8wtMe6IOyV5ZyQtyvv7M,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,Back To Black: Songs From The Original Motion Picture,20,0,False,0.341,0.168,1,-13.006,1,0.0292,0.712,3.25e-05,0.287,0.122,88.307,240147,4
Back To Black,6HJKjitMZA31pyPVbMEkOl,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,38,0,True,0.468,0.587,7,-7.816,0,0.0372,0.144,2.64e-05,0.0767,0.316,123.47,241293,4
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",0Gh1CggHyA80QnLdZtgPgP,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,27,0,False,0.755,0.273,5,-10.562,0,0.0398,0.691,7.01e-06,0.171,0.623,95.957,232120,4
Les Fleurs,6BAi9eYhOskA7TzDVBxkx6,Minnie Riperton,2i1IdHG5w0wiSmJGoqAGlj,Back To Black: Songs From The Original Motion Picture,22,0,False,0.433,0.503,8,-8.17,1,0.056,0.647,1.91e-05,0.172,0.399,152.416,197107,4
That's Life,1gbg2i6L9M2ntXRVlBJv3i,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,Back To Black: Songs From The Original Motion Picture,20,0,False,0.63,0.345,10,-12.794,1,0.0647,0.693,7.58e-05,0.0993,0.393,79.953,219040,4
Mad About The Boy,03n7nin06zElQij8mWILo2,Dinah Washington,32LHRiof0sa4taYew9i3Fa,Back To Black: Songs From The Original Motion Picture,19,0,False,0.392,0.231,8,-7.024,1,0.0295,0.91,0.000101,0.0422,0.235,79.97,180640,4
(There Is) No Greater Love,1pSzQQ8UDeYkwtNbVx2GnW,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black: Songs From The Original Motion Picture,21,0,False,0.387,0.237,1,-11.899,0,0.0436,0.954,4.56e-05,0.0954,0.263,137.611,128933,4
Distraction,1oc92BMKYkNxK17C2GtyRM,Polo G,6AgTAQt8XS6jRWi4sX7w49,Distraction,59,0,True,0.713,0.689,11,-5.99,1,0.255,0.16,0.0,0.136,0.63,156.934,171319,4
Dame Break,7LVyfGaXMOu4bsLdluFFLc,Darell,1TtXnWcUs0FCkaZDPGYHdf,Dame Break,36,0,True,0.649,0.699,4,-3.467,1,0.313,0.532,8.83e-05,0.134,0.702,185.667,211803,4
"Lehnga (From ""Jatt & Juliet 3"")",1xJRsUJZoL6LvBpBGWks8L,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,"Lehnga (From ""Jatt & Juliet 3"")",52,0,False,0.881,0.815,0,-4.278,1,0.0462,0.201,0.0,0.157,0.651,116.062,189763,4
Intezaar - Acoustic / Lofi Flip,4P6wUqq5yengDDAwNTALny,Mithoon,09UmIX92EUH9hAK4bxvHx6,Intezaar (Acoustic / Lofi Flip),26,0,False,0.366,0.481,6,-8.205,1,0.0405,0.525,1.78e-05,0.126,0.165,105.034,176000,4
