name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bitches broken hearts,73,0,True,0.778,0.422,0.0,-10.114,1.0,0.0482,0.921,0.00924,0.0958,0.187,120.033,176472.0,4.0
Dollhouse (with Lily Rose Depp),5HUQPQ9E1a4er4UhB8C7Rc,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,The Idol Episode 5 Part 2 (Music from the HBO Original Series),63,0,False,0.386,0.55,7.0,-8.939,0.0,0.0329,0.00156,0.000488,0.4,0.0384,96.927,239784.0,4.0
My Sweet Lord,3TBFOYhRrY2lL4lcmtvIrU,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,The Idol Episode 5 Part 2 (Music from the HBO Original Series),46,0,False,0.232,0.238,11.0,-12.048,0.0,0.0348,0.555,0.0078,0.13,0.105,121.842,192787.0,4.0
Crocodile Tears,7MwYXhh2dTqc7fiwkwPZo1,Suzanna Son,0KVIja3XDIh9zXkKO2FI2A,The Idol Episode 5 Part 2 (Music from the HBO Original Series),41,1,False,0.474,0.111,9.0,-9.722,0.0,0.0334,0.964,0.0,0.138,0.179,89.993,182799.0,4.0
Welcome To New York,6qnM0XXPZOINWA778uNqQ9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,55,0,False,0.793,0.634,7.0,-4.807,1.0,0.0324,0.038,1.76e-06,0.304,0.615,117.024,212600.0,4.0
Blank Space,1p80LdxRV74UKvL8gnD7ky,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,70,0,False,0.753,0.678,5.0,-5.421,1.0,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827.0,4.0
Style,4lIxdJw6W3Fg4vUIYCB0S5,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,68,0,False,0.598,0.786,2.0,-5.572,1.0,0.0383,0.00253,0.0016,0.117,0.456,95.019,231000.0,4.0
Out Of The Woods,5OndtwLGA9O6XHFcGm2H7r,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,54,0,False,0.552,0.842,7.0,-6.938,1.0,0.0373,0.00103,1.17e-05,0.337,0.343,91.991,235800.0,4.0
All You Had To Do Was Stay,0dAb8TY433dl3ZfXYCLE19,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,50,0,False,0.602,0.736,5.0,-5.778,1.0,0.0338,0.00196,4.57e-05,0.105,0.471,96.969,193293.0,4.0
Shake It Off,5xTtaWoae3wi06K5WfVUUH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,70,0,False,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015,219200.0,4.0
I Wish You Would,3wmN11qXGL0HyPojvEE1D9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,42,0,False,0.648,0.898,0.0,-5.963,1.0,0.0513,0.016,9.91e-05,0.109,0.502,118.02,207440.0,4.0
Bad Blood,273dCMFseLcVsoSWx59IoE,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,62,0,False,0.65,0.802,7.0,-6.114,1.0,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211933.0,4.0
Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,66,0,False,0.554,0.666,8.0,-7.414,1.0,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440.0,4.0
How You Get The Girl,4dYUOfmWna6DFccnz732n8,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,43,0,False,0.764,0.66,5.0,-6.136,1.0,0.0494,0.00461,0.00477,0.0915,0.524,119.988,247533.0,4.0
This Love,3oKMl2tJv4fdidkXUYMI5x,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,40,0,False,0.475,0.459,4.0,-8.768,1.0,0.0333,0.635,0.0,0.101,0.0828,143.988,250093.0,4.0
I Know Places,3jBMHD19RZdAqG9iFQh7xc,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,40,0,False,0.596,0.763,0.0,-4.99,1.0,0.0661,0.231,0.0,0.2,0.507,159.958,195707.0,4.0
Clean,06WgOCf0LV2h4keYXDRnuh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,42,0,False,0.81,0.379,4.0,-7.771,1.0,0.0349,0.241,0.0,0.113,0.22,103.981,271000.0,4.0
Let Somebody Go - Piano Version,2zVeRtqrrRXpCizKlywvvr,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Let Somebody Go (Piano Version),41,0,False,0.465,0.238,0.0,-9.977,1.0,0.0349,0.811,6.1e-05,0.158,0.306,129.07,249086.0,4.0
Let Somebody Go - Kygo Remix,2PLNTLPqbL2AzjVPuyggw5,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Let Somebody Go (Piano Version),28,0,False,0.552,0.721,0.0,-7.313,1.0,0.0323,0.163,0.000183,0.0808,0.325,162.09,197267.0,4.0
Let Somebody Go - Single Version,59GSz2S248YmyMYavpcxFI,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Let Somebody Go (Piano Version),27,0,False,0.639,0.401,0.0,-9.091,1.0,0.0341,0.204,0.0138,0.11,0.24,134.974,212950.0,4.0
Let Somebody Go,2tFbT0atd7zQxTqa2l1Pf1,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Let Somebody Go (Piano Version),30,0,False,0.592,0.342,0.0,-8.93,1.0,0.0339,0.193,0.00245,0.11,0.155,130.953,241595.0,4.0
Finer Things (Feat. Hank Williams Jr.),26IcURoSOBlQQVHBHZyWjI,Post Malone,246dkjvS1zLTtiykXe5h60,Finer Things,47,0,False,0.63,0.933,2.0,-3.456,0.0,0.0378,0.00466,0.0,0.391,0.676,123.953,185534.0,4.0
Consideration - MK Remix,3smkHtVHVWKlg6Zaifc2Ow,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Consideration (Dance Remixes),27,0,False,0.693,0.893,0.0,-4.26,1.0,0.0504,0.0207,0.0,0.204,0.342,130.053,235307.0,4.0
Consideration - Dirty South Remix,3zn6r8zqyZBuiOa7PrAtPm,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Consideration (Dance Remixes),15,0,False,0.703,0.879,2.0,-7.523,1.0,0.038,0.00202,0.831,0.0693,0.596,124.981,217840.0,4.0
Consideration - Mangal Suvarnan Remix,6sDIx3jRwWrh7vHflBvhv1,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Consideration (Dance Remixes),26,0,False,0.669,0.659,10.0,-6.205,1.0,0.0374,0.248,0.000294,0.115,0.186,127.987,206333.0,4.0
Consideration - James Carter Remix,1s0dzzFLZTbRGSJ2EL2ObD,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Consideration (Dance Remixes),23,0,False,0.674,0.872,5.0,-5.639,1.0,0.129,0.0247,0.00031,0.148,0.161,145.11,157747.0,4.0
Consideration - Will Clarke Remix,73a0etz8TVhjViZLH2qctQ,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Consideration (Dance Remixes),17,0,False,0.775,0.605,0.0,-11.241,1.0,0.0468,0.0444,0.0162,0.108,0.337,126.002,224293.0,4.0
Consideration - Stafford Brothers Remix,3nXljZFHOuvlgqPzclKDyH,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Consideration (Dance Remixes),16,0,True,0.707,0.867,7.0,-3.687,0.0,0.0559,0.00252,0.000451,0.125,0.199,125.009,203573.0,4.0
Switch,5l9wqqfosStld3rOPimbDw,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Switch,56,0,False,0.613,0.992,1.0,-5.32,1.0,0.112,0.0102,0.72,0.29,0.153,125.038,189022.0,3.0
Somebody Save Me (feat. Jelly Roll),7Hhyd8Qcm5jMDvj1YCpMhW,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Somebody Save Me (feat. Jelly Roll),59,0,True,0.578,0.652,0.0,-6.518,1.0,0.161,0.717,1.35e-06,0.116,0.41,180.416,230199.0,3.0
Grenade - Michael Meds Mix,01sdh37jvLGU1t2O6uxJbn,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,The Grenade Remixes,31,0,False,0.74,0.735,2.0,-3.851,0.0,0.0644,0.107,2.12e-05,0.105,0.401,125.0,410880.0,4.0
Grenade - John de Sohn Mix,4Poz3qJ8a4NJWDGWDS3a94,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,The Grenade Remixes,30,0,False,0.788,0.689,0.0,-6.06,1.0,0.0489,0.00166,0.433,0.0965,0.351,127.998,378613.0,4.0
