name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Summertime Friends,7JLzv38qr5GxXYqQfuQJP9,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Summertime Friends,51,0,False,0.522,0.69,2,-5.574,1,0.0325,0.011,7.81e-06,0.4,0.28,160.054,136586,4
Intro,4EIap3lgR5yc7YfuSTUJpS,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,10,0,True,0.487,0.583,9,-8.367,0,0.109,0.594,0.0,0.128,0.507,85.182,116960,3
Miami S***,1vyZxJDG1WPQJRzm2z4GBC,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,18,0,True,0.744,0.893,11,-5.415,0,0.1,0.00837,0.0,0.804,0.283,116.022,202173,4
Come See Me,7ycxotyZ52we2jKaIBuqwK,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,17,0,True,0.768,0.739,8,-3.887,0,0.218,0.0402,0.0,0.0762,0.472,78.433,187627,4
Jealouso,0hi0WlCStaMjt0wGNysxqA,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,16,0,True,0.97,0.837,1,-6.376,1,0.179,0.122,8.13e-06,0.0745,0.884,119.976,243027,4
Que Tu Sabes D'Eso,6Ar2t8hDgyrmjAVFKpQXg0,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,17,0,True,0.756,0.754,8,-5.167,1,0.351,0.0077,0.0,0.214,0.786,149.047,243147,4
Fademaster Skit,3i0yPmdXovYNii91DpXciX,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,12,0,True,0.67,0.174,2,-14.661,1,0.491,0.873,0.0,0.353,0.592,95.175,37920,1
Be Quiet,67rbqLHcu4lcy6G7IHxUjK,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,14,0,True,0.577,0.551,1,-7.177,0,0.422,0.00396,0.0,0.086,0.472,90.036,202787,4
Ay Chico (Lengua Afuera),3b2Dm0jdnbiD29SLROeLkU,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,39,0,True,0.94,0.692,6,-5.48,0,0.253,0.0194,0.000455,0.0453,0.875,117.987,205600,4
Fuego,57h06nfYP6aHNjkPMSwkqr,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,46,0,True,0.882,0.693,1,-5.783,1,0.139,0.0301,0.000539,0.0618,0.582,135.055,229213,4
Rock Bottom,4yB6lyEStqSLibTQLFxko3,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,15,0,True,0.808,0.803,6,-2.997,1,0.342,0.0242,0.0,0.658,0.655,140.126,271653,4
Amanda Diva Skit,20KOTvsxqfqLhRJhRkE3BY,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,9,0,True,0.741,0.145,8,-14.908,1,0.904,0.245,0.0,0.328,0.633,94.523,41640,1
Blood Is Thicker Than Water,1IBL3iHGLAqEINnrGtdaCG,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,12,0,True,0.806,0.531,4,-5.189,0,0.348,0.0224,0.0,0.0992,0.393,87.007,245093,4
Jungle Fever,1fr5uc3B1TYJ6DgBDaj92o,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,16,0,True,0.875,0.802,11,-6.581,0,0.161,0.116,3.76e-05,0.0762,0.861,120.025,242227,4
Hey You Girl,0n4ELJ0n5RahdyVsUAFV2p,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,18,0,True,0.795,0.683,11,-9.051,1,0.104,0.00303,0.0,0.194,0.529,83.226,226267,4
Raindrops,0QCjjHeo9rva4uz6ySzXDl,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,13,0,True,0.817,0.477,2,-9.598,0,0.0574,0.297,1.86e-06,0.103,0.245,142.062,255080,4
Voodoo,6mR4Ct8GxIhuw9u4m6iPYx,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,15,0,True,0.877,0.822,0,-5.099,0,0.138,0.112,2.17e-05,0.0514,0.585,120.086,227947,4
Descarada (Dance),1sP8Q7PGUNpEpmu090fCrr,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,20,0,True,0.919,0.73,6,-5.943,1,0.196,0.0547,0.0,0.383,0.721,117.027,182413,4
Dime (Remix),4rYzw0kS3D2aTXf0wqL7ap,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,34,0,True,0.716,0.499,8,-9.645,1,0.0546,0.0575,0.0,0.0863,0.451,134.015,307760,4
Bojangles (Remix),7snK1sf3ZHxahCYpFy1aJ8,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,44,0,True,0.794,0.695,1,-6.692,1,0.15,0.00355,0.0,0.0883,0.364,108.071,269640,4
Born N Raised,7jPYbNUUYBKXhrAvSFwVf2,Pitbull,0TnOYISbd1XYRBk9myaseg,El Mariel,30,0,True,0.674,0.92,11,-5.516,0,0.324,0.0176,3.27e-06,0.261,0.636,78.021,256293,4
Intro,64PbFJPdRoMi87VJJk2NFI,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),30,0,False,0.665,0.487,4,-12.525,0,0.0973,0.0932,0.000136,0.278,0.437,85.848,56960,4
Run It! (feat. Juelz Santana),7xYnUQigPoIDAMPVK79NEq,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),73,0,False,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,229867,4
Yo (Excuse Me Miss),7DFnq8FYhHMCylykf6ZCxA,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),72,0,False,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,229040,4
Young Love,3yF9O6mWgjQwI10xDIZ1Qa,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),45,0,False,0.652,0.599,11,-6.158,1,0.103,0.000278,0.0,0.0573,0.584,168.03,218467,4
Gimme That,53ETzLQQKFCzykRbqWb1ph,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),65,0,False,0.678,0.572,11,-7.033,0,0.0466,0.00374,6.59e-05,0.118,0.444,87.165,186827,4
Ya Man Ain't Me,0ERv44yTvPI3NAsdQTHAIS,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),50,0,False,0.806,0.571,10,-5.986,1,0.0397,0.00393,0.0,0.34,0.722,124.1,214800,4
Winner,2bgvC2viPYMarrEzhpuxMG,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),43,0,False,0.727,0.519,1,-8.902,1,0.201,0.0253,0.0,0.0562,0.594,150.103,244773,4
Ain't No Way (You Won't Love Me),74rIUpem6Mzx2iNi8Fr1vM,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),54,0,False,0.702,0.585,6,-7.617,0,0.0446,0.0465,1.78e-06,0.143,0.553,93.003,203800,4
What's My Name (feat. Noah),7jjGISS1rnfMaW0h45qVil,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),38,0,False,0.798,0.592,2,-5.438,1,0.143,0.0355,0.0,0.0437,0.757,93.0,232133,4
Is This Love,2IM1YrJwUWJKjbwyMgSNp2,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),40,0,False,0.497,0.549,1,-6.385,1,0.0953,0.00849,0.0,0.347,0.57,88.74,197333,4
Poppin' - Main,7vGRXiYWFk6NjUnsNjQJQd,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),57,0,False,0.767,0.419,9,-3.011,0,0.0369,0.00895,0.0,0.0521,0.547,122.963,265333,4
Just Fine,4TfEwigZnZp7nMFUoaQbEc,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),41,0,False,0.682,0.711,1,-6.354,1,0.062,0.0053,0.0,0.135,0.587,91.971,232267,4
Say Goodbye,5F7IJrXD6Fa3EmqoYE0gU4,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),69,0,False,0.8,0.502,1,-6.062,1,0.0371,0.00167,0.0,0.0784,0.388,115.091,289760,4
Run It! Remix (feat. Bow Wow & Jermaine Dupri),2ijFmfq5ELnK8lZ0VS0gjo,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),40,0,False,0.816,0.682,6,-8.036,0,0.188,0.101,0.0,0.053,0.964,101.066,244227,4
So Glad,2GPI9yej5Y5UywHerNQj9c,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),31,0,False,0.751,0.634,10,-7.494,0,0.0298,0.00393,0.0,0.077,0.378,100.99,177893,4
Seen the Light (feat. Rico Love),7uMnEqtnGs41EqIjpaNHOr,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),29,0,False,0.538,0.681,11,-6.952,0,0.218,0.0506,0.0,0.2,0.434,85.276,249440,4
Thank You,7xxI7hEkYGS10KenWxwfe1,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),32,0,False,0.546,0.64,7,-6.174,1,0.116,0.0822,0.0,0.108,0.481,122.942,266227,4
Gimme That Remix (feat. Lil' Wayne),2bIrFpyw3AA2t7gNIkfmGb,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown (Expanded Edition),59,0,False,0.513,0.606,6,-5.757,1,0.148,0.0531,0.0,0.112,0.455,116.186,237360,5
"I Think I Kinda, You Know - Duet",2UVrIJBJVRPN9UgzShCJ5c,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,"I Think I Kinda, You Know (From ""High School Musical: The Musical: The Series"")",53,0,False,0.781,0.463,0,-7.662,1,0.0861,0.47,0.0,0.0961,0.506,129.131,172253,4
Start of Something New - Nini Version,5IZU5UmMN4Q1up8pnW2hWL,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,"I Think I Kinda, You Know (From ""High School Musical: The Musical: The Series"")",44,0,False,0.453,0.246,2,-7.498,1,0.0365,0.801,0.0,0.106,0.324,75.174,101176,5
LOCA FARANDULERA,4Mq087D0SM2uoeHgQTlDJ8,Jere Klein,35oGZihZclGoTVuICPXRP9,LOCA FARANDULERA,43,0,True,0.857,0.598,11,-7.202,1,0.0756,0.0341,0.0,0.476,0.574,98.059,155723,4
I Will Be Here - Benny Benassi Dub Remix,7wpsRukxpCLEfIMtkBGdXa,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,1,0,False,0.478,0.683,6,-2.351,1,0.0661,0.0211,1.18e-05,0.078,0.038,127.925,362120,4
I Will Be Here - Laidback Luke Instrumental,0gk4wbKhSh0KIcFXaZG0zB,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,1,0,False,0.755,0.833,1,-5.584,0,0.0518,0.0384,0.882,0.0534,0.0517,128.024,364093,4
Who Wants to Be Alone - Dimitri Vegas Mix,4SxhtjLM5KcHYr3KqyIae0,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,1,0,False,0.795,0.709,7,-7.741,1,0.351,0.0079,0.0529,0.126,0.482,127.995,380493,4
Who Wants to Be Alone - Robbie Rivera Juicy Remix,3fFBptUer6nw7YzoDkS6SL,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,1,0,False,0.711,0.661,5,-7.711,0,0.0713,0.000626,0.863,0.0527,0.102,127.009,444133,4
Who Wants to Be Alone - Robbie Rivera Juicy Dub Remix,13YhP2ZLiArhtq04dNgDRm,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,0,0,False,0.735,0.578,8,-8.632,1,0.0793,0.00151,0.86,0.103,0.104,126.997,426027,4
Who Wants to Be Alone - Andy Duguid Remix,1NEWhMDEUvyby8Kr87GgHM,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,1,0,False,0.802,0.651,2,-7.211,1,0.0726,0.0139,0.794,0.108,0.132,125.996,406707,4
Who Wants to Be Alone - David Tort Remix,5bagIuSAqq88eINig1U8Mu,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,0,0,False,0.741,0.719,7,-9.452,1,0.0582,0.000544,0.882,0.0975,0.0432,128.012,478040,4
Kaleidoscope - High Contrast Remix,4a6dtc1MxzY4EflMCK7Ltq,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,2,0,False,0.444,0.92,7,-3.887,1,0.0466,0.000339,0.887,0.15,0.0278,173.01,470427,4
Kaleidoscope - High Contrast Remix Instrumental,6D7MDH49RIEMXewSMe9Q3V,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,0,0,False,0.45,0.926,7,-4.039,1,0.045,0.000142,0.91,0.166,0.0267,172.993,468867,4
It's Not the Things You Say - Ali Wilson Dub Remix,7C5aQA8rzxDMSR6rtMLEE8,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Kaleidoscope Remixed,0,0,False,0.741,0.782,1,-8.849,1,0.0437,1.63e-05,0.772,0.103,0.0506,132.004,439467,4
"FTCU (feat. Travis Scott, Chris Brown & Sexyy Red) - SLEEZEMIX",2oTFuT1tKLHlTJsnBSJJiN,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,FTCU (SLEEZEMIX),64,0,True,0.906,0.484,11,-6.679,1,0.369,0.0171,0.000263,0.143,0.432,145.037,239667,4
FTCU,795bu8ZKQCeDvuKaE9NfzO,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,FTCU (SLEEZEMIX),40,0,True,0.93,0.435,11,-6.694,1,0.202,0.0173,0.000287,0.117,0.227,144.978,172138,4
When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,When You're Gone,71,0,False,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148,172267,4
HOLA PERDIDA REMIX,2FqTbwiogEVvZnkarPf5BV,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,HOLA PERDIDA REMIX,76,1,False,0.479,0.802,2,-4.605,0,0.0719,0.176,0.0,0.258,0.763,149.06,201031,4
Paris to Tokyo,5QvW5lK6mkfTegpAK9JOO7,Fivio Foreign,14CHVeJGrR5xgUGQFV5BVM,Paris to Tokyo,53,0,True,0.642,0.787,5,-6.389,0,0.17,0.0185,0.0,0.288,0.406,146.733,130897,4
Michael Jackson x Mark Ronson: Diamonds are Invincible,7jRs0CvNctNBNH1roANQdY,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson x Mark Ronson: Diamonds are Invincible,39,0,False,0.672,0.832,11,-2.388,0,0.342,0.342,0.000428,0.242,0.549,117.298,300027,4
LUNA,6mvg0SlnYSvKd0SH6l8ejA,Feid,2LRoIwlKmHjgvigdNGBHNo,LUNA,58,0,False,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,196800,4
Title,5teq5T6tHqJQJfVGlAhIAZ,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,TikTok Pop Hits 2022 | 2023,10,0,True,0.774,0.752,5,-4.367,1,0.109,0.388,4.89e-06,0.139,0.894,90.014,174613,4
Dandelions - slowed + reverb,43U065p1E8ApwvG509eAw7,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,TikTok Pop Hits 2022 | 2023,25,0,False,0.573,0.715,8,-3.293,0,0.0256,0.0444,0.0,0.0898,0.258,101.699,268717,3
Under The Influence,6oyjbsSdU0hvy8QDtKWHaH,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,TikTok Pop Hits 2022 | 2023,12,0,True,0.755,0.562,9,-8.947,0,0.0355,0.0186,0.000231,0.18,0.368,116.931,184613,4
Unstoppable,0f1jrr7xCJwa5LiJsi2Fut,Sia,5WUlDfRSoLAfcVSX1WnrxN,TikTok Pop Hits 2022 | 2023,12,0,False,0.469,0.767,6,-4.899,0,0.075,0.117,0.000451,0.112,0.251,173.795,217747,4
Jiggle Jiggle,0WjBeRVXZIkR1Ko7vYbwRO,Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,TikTok Pop Hits 2022 | 2023,12,0,False,0.864,0.412,1,-5.886,1,0.273,0.458,0.00087,0.124,0.654,99.992,97209,4
Bad Habit,04IhS0mnxOuI0QSgDyn9z5,Steve Lacy,57vWImR43h4CaDao012Ofp,TikTok Pop Hits 2022 | 2023,25,0,True,0.685,0.489,1,-7.904,1,0.038,0.643,3.99e-05,0.404,0.723,168.999,232427,4
Sweater Weather,27J4hy0p05VQd8Dr6ajGf5,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,TikTok Pop Hits 2022 | 2023,17,0,False,0.603,0.825,10,-2.468,1,0.0335,0.0483,0.0175,0.0968,0.396,124.044,239813,4
Only Love Can Hurt Like This - Slowed Down Version,60EULSVrV0DZeiu4m9ZlDJ,Paloma Faith,4fwuXg6XQHfdlOdmw36OHa,TikTok Pop Hits 2022 | 2023,10,0,False,0.554,0.854,6,-6.263,0,0.0567,0.102,9.26e-05,0.554,0.387,82.012,257744,4
One Kiss (with Dua Lipa),5HO4D3fBoqf3XWN6jIsZLV,Calvin Harris,7CajNmpbOovFoOoasH2HaY,TikTok Pop Hits 2022 | 2023,12,0,False,0.787,0.753,9,-7.107,0,0.131,0.0625,2.97e-05,0.106,0.699,124.039,212667,4
Pony,6QaQs6CUZsSk0lazuXObyz,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,TikTok Pop Hits 2022 | 2023,9,0,True,0.748,0.606,8,-9.359,0,0.085,0.00188,0.0379,0.115,0.966,142.024,251733,4
Kiss Me More (feat. SZA),00G1HdklEr6QeKNDNh3j0z,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,TikTok Pop Hits 2022 | 2023,10,0,True,0.768,0.647,8,-4.915,1,0.03,0.25,9.48e-05,0.127,0.761,110.97,208613,4
Mount Everest,1oR85SilYdPuG87ZuZqikB,Labrinth,2feDdbD5araYcm6JhFHHw7,TikTok Pop Hits 2022 | 2023,14,0,True,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724,157497,4
Woman,602UZCVSrztI6PhqSxlpPD,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,TikTok Pop Hits 2022 | 2023,7,0,True,0.822,0.771,5,-4.156,0,0.0863,0.0897,0.00334,0.122,0.86,107.997,171067,4
Atlantis - Extra Sped Up Version,2ctPUhrv1vAjzmHTTHrZUN,Seafret,4Ly0KABsxlx4fNj63zJTrF,TikTok Pop Hits 2022 | 2023,11,0,False,0.471,0.561,11,-7.068,0,0.03,0.0472,1.91e-06,0.122,0.215,99.808,190759,4
Dance with Me Tonight,2iaKjplSErYrc3HY908xJb,Olly Murs,3whuHq0yGx60atvA2RCVRW,TikTok Pop Hits 2022 | 2023,4,0,False,0.664,0.746,11,-5.857,0,0.062,0.322,0.0,0.0655,0.963,163.992,203107,4
Mask Off,10av7fWikMe1XhCrvvVR2B,Future,1RyvyyTE3xzB2ZywiAwp0i,TikTok Pop Hits 2022 | 2023,10,0,True,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0209,0.165,0.281,150.062,204600,4
Softcore,7LbwPBKYwukws4HElkhA5C,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,TikTok Pop Hits 2022 | 2023,22,0,False,0.574,0.568,9,-5.509,0,0.0301,0.0484,0.000409,0.286,0.371,93.99,206280,4
Another Love,02Po9TAHBOJ9Y9QmufVOxL,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,TikTok Pop Hits 2022 | 2023,7,0,True,0.429,0.455,4,-10.783,0,0.0392,0.438,4.21e-06,0.0994,0.108,119.338,243880,4
Love Me Like You,6jLRxzaZrt5FDZWXko3JJZ,Little Mix,3e7awlrlDSwF3iM0WBjGMp,TikTok Pop Hits 2022 | 2023,6,0,False,0.784,0.576,7,-6.63,1,0.0421,0.175,0.0,0.184,0.867,106.059,197747,4
MONTERO (Call Me By Your Name),1E8ZlfGVsTeUI1d0TjFw30,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,TikTok Pop Hits 2022 | 2023,10,0,True,0.535,0.511,8,-6.84,0,0.159,0.308,0.0,0.38,0.757,88.837,140173,4
Somebody’s Problem,0SErdEdRcVX1uJCf1eTGYH,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Somebody’s Problem,60,0,False,0.657,0.54,5,-7.675,1,0.0287,0.662,0.0,0.123,0.625,136.97,161773,4
Molly Hearts,5vw3DReMzhvaeJNGJ1AHcr,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,49,0,True,0.586,0.742,11,-3.829,1,0.0408,0.0637,0.0,0.302,0.658,80.977,162960,4
MP5,0rHgfLe4RtMjcbarp088qE,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,54,0,True,0.674,0.824,1,-4.74,1,0.0588,0.0309,0.0,0.0567,0.567,150.017,160000,3
Betrayal (feat. Drake),0XqGHtlXsdVW2n8HJ3KyeE,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,53,0,True,0.74,0.564,8,-6.71,1,0.0688,0.0126,0.0,0.126,0.129,158.114,152025,4
Finish Line,6sGtiEr9erP5tORfJkf0qp,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,45,0,True,0.674,0.761,1,-4.497,1,0.0575,0.101,0.0,0.126,0.431,147.938,142655,4
Holy Smokes (feat. Lil Uzi Vert),6E1DcEzZ4ESfkrWL3bSFXJ,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,56,0,True,0.422,0.491,6,-5.703,1,0.368,0.195,0.0,0.142,0.67,184.344,181714,5
Super Cell,5HKultMiiFUxXrIrX7qFcG,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,53,0,True,0.641,0.755,4,-3.621,0,0.113,0.0162,0.0,0.0849,0.603,154.829,161027,4
Miss The Rage,5n4FTCMefvyKUjeWumdaWv,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,73,1,True,0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,236883,4
Supernatural,0Gthl5sNnoTUutr5mq1aHN,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,47,0,True,0.449,0.852,1,-3.618,1,0.308,0.00938,0.0,0.127,0.425,156.675,140832,4
Demon Time,5kyiTQjYaQVDhapExFQdwA,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,58,0,True,0.718,0.684,11,-5.16,0,0.248,0.0182,0.0,0.233,0.856,146.084,159452,4
Matt Hardy 999,4zkFR93VC5H04YhnYxr2zz,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,63,0,True,0.672,0.654,1,-4.528,1,0.0966,0.201,0.0,0.1,0.404,78.512,188026,4
Vibes,6H2kBrZhwydtuzmywDSiyz,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,42,0,True,0.56,0.825,11,-4.859,0,0.0604,0.00372,0.0,0.393,0.269,146.825,124060,4
New Money,1F0mm1oM0z7WClA6DvOFf4,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,41,0,True,0.754,0.507,10,-6.242,1,0.339,0.597,0.0,0.117,0.665,135.014,144009,4
Danny Phantom (feat. XXXTENTACION),2CxXnPvHjWOrzSVvNs0j8c,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,51,0,True,0.634,0.804,11,-6.688,0,0.477,0.162,0.0,0.351,0.809,147.259,136377,4
Space Time,4CmYuwHq3qKz6pSlSXw5M0,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Trip At Knight,44,0,True,0.698,0.559,8,-6.522,0,0.211,0.161,0.0,0.164,0.751,144.016,119957,4
